"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Book title","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Journal Article","Gino F,Schweitzer ME,Mead NL,Ariely D","","Unable to resist temptation: How self-control depletion promotes unethical behavior","Organizational Behavior and Human Decision Processes","2011","115","2","191-203","","","","2011","","0749-5978","https://www.sciencedirect.com/science/article/pii/S0749597811000422;http://dx.doi.org/10.1016/j.obhdp.2011.03.001","10.1016/j.obhdp.2011.03.001","Across four experimental studies, individuals who were depleted of their self-regulatory resources by an initial act of self-control were more likely to “impulsively cheat” than individuals whose self-regulatory resources were intact. Our results demonstrate that individuals depleted of self-control resources were more likely to behave dishonestly (Study 1). Depletion reduced people’s moral awareness when they faced the opportunity to cheat, which, in turn, was responsible for heightened cheating (Study 2). Individuals high in moral identity, however, did not show elevated levels of cheating when they were depleted (Study 3), supporting our hypothesis that self-control depletion increases cheating when it robs people of the executive resources necessary to identify an act as immoral or unethical. Our results also show that resisting unethical behavior both requires and depletes self-control resources (Study 4). Taken together, our findings help to explain how otherwise ethical individuals predictably engage in unethical behavior.","Impulsive cheating, Unethical behavior, Ego depletion, Dishonesty, Self-control, Self-regulatory resources, Moral identity, Ethical decision making","",""
"Journal Article","Fagan J,Ployhart RE","","The information processing foundations of human capital resources: Leveraging insights from information processing approaches to intelligence","Human Resource Management Review","2015","25","1","4-11","","","","2015","","1053-4822","https://www.sciencedirect.com/science/article/pii/S1053482214000485;http://dx.doi.org/10.1016/j.hrmr.2014.09.003","10.1016/j.hrmr.2014.09.003","This paper considers how information processing approaches to intelligence may offer implications for the study of human capital resources within organizations. We first provide a brief overview of human capital research that summarizes its evolution and current areas of emphasis. This review notes that most of the research on human capital has ignored key developments in the psychological study of intelligence. We then review contemporary approaches to studying intelligence as information processing. We conclude by proposing a broad agenda for integrating research on human capital resources with information processing approaches to intelligence.","Human capital resources, Intelligence, Information processing, Human resources","",""
"Journal Article","Finne E,Englert C,Jekauc D","","On the importance of self-control strength for regular physical activity","Psychology of Sport and Exercise","2019","43","","165-171","","","","2019","","1469-0292","https://www.sciencedirect.com/science/article/pii/S1469029218305545;http://dx.doi.org/10.1016/j.psychsport.2019.02.007","10.1016/j.psychsport.2019.02.007","Objectives Physical activity intentions do not automatically lead to physical activity behavior, indicating that there are other (psychological) factors involved. In the present study, we tested the assumption that self-control strength is required to bridge the intention-behavior gap in terms of initial and weekly intentions. Design A total of N = 259 individuals, who registered for a weekly university sports course, were followed for 13 weeks. Methods At baseline, trait self-control strength as well as the intention to take part in the respective sports course on a regular basis were measured. Then, we registered weekly participation and asked the participants after each training session to report their intention to show up at next week’s training session. Results Despite very high baseline as well as weekly exercise intentions, the participation rate dropped considerably over time, indicating a large intention-behavior gap. The association of within-person fluctuations in weekly intentions and actual participation was moderated by self-control: Only in individuals with high levels of trait self-control strength stronger intentions were associated with a higher chance of actual re-attendance. Baseline intention was also associated with participation but not moderated by self-control. Conclusions These findings indicate that high levels of self-control strength are beneficial in order to translate short-term intentions into actual behavior. Practical implications on how to improve self-control are discussed.","Intention-behavior gap, Physical activity, Self-control, Self-regulation, Sport","",""
"Journal Article","Yang Z,Wang J,Mourali M","","Effect of peer influence on unauthorized music downloading and sharing: The moderating role of self-construal","Journal of Business Research","2015","68","3","516-525","","","","2015","","0148-2963","https://www.sciencedirect.com/science/article/pii/S014829631400294X;http://dx.doi.org/10.1016/j.jbusres.2014.09.011","10.1016/j.jbusres.2014.09.011","This research develops an integrative model of music piracy, specifying self-control and differential association as antecedents, peer influence in music downloading/sharing as mediator, and self-construal as moderator. Disentangling peer influence into two forms—informational influence and normative influence—this research examines their differential effects on two aspects of music piracy: unauthorized downloading and unauthorized sharing. The findings suggest that informational influence is the key underlying mechanism through which self-control affects unauthorized downloading, whereas the two forms of peer influence mediate the relationship between differential association and both aspects of music piracy. Furthermore, the relationships among antecedents, mediator, and consequences (i.e., unauthorized downloading and unauthorized sharing) are contingent upon individuals' self-construal. These findings yield important implications and intervention programs (e.g., interpersonal skill training, educational extension programs, and artist-student contact points) that can curb music piracy.","Unauthorized sharing, Unauthorized downloading, Peer influence in music downloading/sharing, Self-control, Differential association, Self-construal","",""
"Journal Article","Shin SH,Hong HG,Jeon SM","","Personality and alcohol use: The role of impulsivity","Addictive Behaviors","2012","37","1","102-107","","","","2012","","0306-4603","https://www.sciencedirect.com/science/article/pii/S0306460311002917;http://dx.doi.org/10.1016/j.addbeh.2011.09.006","10.1016/j.addbeh.2011.09.006","Research has shown that personality traits associated with impulsivity influence alcohol use during emerging adulthood, yet relatively few studies have examined how distinct facets of impulsivity are associated with alcohol use and abuse. We examine the influence of impulsivity traits on four patterns of alcohol use including frequency of alcohol use, alcohol-related problems, binge drinking, and alcohol use disorders (AUDs) in a community sample of young individuals (N=190). In multivariate regression analyses that controlled for peer and parental alcohol use, psychological distress, and developmental correlates (i.e., college, marriage, employment) in emerging adulthood, we found that urgency and sensation seeking were consistently related to all four constructs of alcohol use. The present study suggests that distinct impulsivity traits may play different roles in escalation of alcohol use and development of AUDs during emerging adulthood.","Impulsivity, Alcohol use, Binge drinking, Alcohol-related problems, Alcohol use disorders, Urgency","",""
"Journal Article","Ode S,Robinson MD,Wilkowski BM","","Can one’s temper be cooled? A role for Agreeableness in moderating Neuroticism’s influence on anger and aggression","Journal of Research in Personality","2008","42","2","295-311","","","","2008","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656607000694;http://dx.doi.org/10.1016/j.jrp.2007.05.007","10.1016/j.jrp.2007.05.007","The study followed from the idea that Neuroticism captures hot or facilitative vulnerabilities related to anger and aggression, whereas Agreeableness captures cool or inhibitory processes in relation to these same outcomes. As such, it was predicted that Neuroticism and Agreeableness should interact to predict anger and aggression according to hot/cool models of self-regulation. This hypothesis was systematically examined among three independent samples of participants (total N=176). As predicted, Neuroticism and Agreeableness interacted to predict anger and aggression among all samples, and did so in a manner consistent with the hypothesis that Neuroticism–anger relations would be lower at high levels of Agreeableness. The results therefore highlight the distinct roles of Neuroticism and Agreeableness in predicting anger and aggression, while placing these traits in a common interactive self-regulatory framework.","Neuroticism, Agreeableness, Anger, Aggression, Self-regulation","",""
"Journal Article","Cesar GT,Decker SH","","“CPS Sucks, but… I think I’m better off in the system:” Family, social support, & arts-based mentorship in child protective services","Children and Youth Services Review","2020","118","","105388","","","","2020","","0190-7409","https://www.sciencedirect.com/science/article/pii/S0190740920309774;http://dx.doi.org/10.1016/j.childyouth.2020.105388","10.1016/j.childyouth.2020.105388","In the United States, 400,000 children are in state custody through child protection systems (CPS), most commonly for parental neglect. While states focus on removing children from danger, familial separation leaves a social void with negative impacts that can extend into adulthood. To better understand how youth in state custody navigate that social void, we interviewed 33 youth (aged 13–17) who were in CPS custody about their relationships with family, perceptions of role models and mentorship, and experiences with an arts-based mentorship organization. We also discussed their projected futures after CPS custody. The interviews took place in the field, during a two-week Theatre Camp program. Theatre Campers’ narratives illustrate the paradox between state benevolence and youth development: many felt safer in CPS, but encountered barriers to connecting with formal and informal support. They missed family, but also used them as examples of what not to do. Their unique perspectives (in state custody, but not incarcerated) provide insight into how marginalized youth view and engage with various forms of social support. We explore the implications of these findings for research at the intersection of criminology and social work, holistic juvenile justice policy, and social support over the life-course.","Criminology, Juvenile justice, Child welfare, Social support, Mentorship, Art therapy","",""
"Journal Article","Berger S,Wyss AM,Knoch D","","Low self-control capacity is associated with immediate responses to smartphone signals","Computers in Human Behavior","2018","86","","45-51","","","","2018","","0747-5632","https://www.sciencedirect.com/science/article/pii/S074756321830195X;http://dx.doi.org/10.1016/j.chb.2018.04.031","10.1016/j.chb.2018.04.031","The ubiquitous use of smartphones has not only led to unprecedented levels of connectivity, but also raised the question about potentially problematic side effects such as phone-use while driving or phone-caused inattention in work or private settings. This poses the question about psychological mechanisms underlying this potentially self-damaging use. The present research addresses this question by showing how heterogeneity in people's self-control capacity explains behavioral differences in smartphone use. Specifically, we show that self-control capacity can be used to estimate whether a person immediately responds to a smartphone signal she receives. Thus, our research helps to identify personal characteristics that lead to a better understanding of problematic smartphone use and can potentially help to design appropriate protective mechanisms or interventions that target self-control capacity.","Smartphone use, Self-control, Self-regulation, Consumer, Psychology, Personality","",""
"Journal Article","Evans R,Norman P,Webb TL","","Using Temporal Self-Regulation Theory to understand healthy and unhealthy eating intentions and behaviour","Appetite","2017","116","","357-364","","","","2017","","0195-6663","https://www.sciencedirect.com/science/article/pii/S0195666316309072;http://dx.doi.org/10.1016/j.appet.2017.05.022","10.1016/j.appet.2017.05.022","Objectives The present research investigated whether Temporal Self-Regulation Theory (TST) can be used to help understand healthy and unhealthy eating intentions and behaviour. Design A prospective design with two waves of data collection one week apart. Method An online survey measured the key components of TST (i.e., connectedness, timing and valence beliefs, intentions, past behaviour, habit strength, perceived environmental cues, and self-control) with respect to eating fruit and vegetables (F&V; N = 133) or unhealthy snacks (N = 125). Eating behaviour was assessed one week later. Results The components of TST explained significant amounts of the variance in intentions and behaviour for intake of F&Vs (22% and 64%, respectively) and unhealthy snacks (18% and 35%, respectively). Beliefs about positive and negative short-term outcomes significantly predicted intentions to perform both behaviours. Intentions and past behaviour significantly predicted consumption of F&Vs, and past behaviour moderated the relationship between intention and behaviour which became stronger as past behaviour increased. Past behaviour and habit strength significantly predicted unhealthy snacking. Conclusions The findings suggest that TST may be a useful framework for understanding eating intentions and behaviour. However, research did not find support for all of the hypothesised relationships (e.g., self-regulatory capacity did not significantly predict eating behaviour and also failed to moderate the relationships between intentions and behaviour). Research using alternative measures of self-regulatory capacity, along with experimental manipulations of TST variables, may be needed to further understand eating intentions and behaviour.","Fruit and vegetable intake, Habits, Past behaviour, Self-control, Temporal Self-Regulation theory, Snacking","",""
"Journal Article","Hoskin AW,Meldrum RC","","The association between fetal testosterone and violent behavior: Additional evidence using the 2D:4D digit ratio","Personality and Individual Differences","2018","134","","293-297","","","","2018","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886918303593;http://dx.doi.org/10.1016/j.paid.2018.06.027","10.1016/j.paid.2018.06.027","Recent meta-analyses on the relationship between prenatal testosterone—measured by the 2D:4D digit ratio—and aggression and analogous traits have reported an overall weak association. Fewer studies, however, have focused specifically on violent behavior. Yet, many of these studies have relied on small samples of incarcerated men and limited their focus to intimate partner violence. Less is known about whether the link between the 2D:4D ratio and violence holds for non-incarcerated populations, for females as well as males, and for general measures of violence. To address these issues, original data were collected on a sample of young adults to estimate the association between the 2D:4D ratio and self-reported violence. The study yielded two important findings. First, the 2D:4D ratio was associated with a majority of the individual violent behaviors examined, as well as multi-item measures of violence, in both bivariate and multivariate models. Second, the 2D:4D ratio was associated with violent behavior among separate samples of men and women, though associations were frequently non-statistically significant for females.","2D:4D, Prenatal testosterone, Violence, Aggression, Gender","",""
