Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Clark K.J., Mitchell M.M., Fahmy C., Pyrooz D.C., Decker S.H.","57211453847;57190665156;56681174500;33867765400;7102710382;","What if They Are All High-Risk for Attrition? Correlates of Retention in a Longitudinal Study of Reentry from Prison",2020,"International Journal of Offender Therapy and Comparative Criminology",,,,"","",,4,"10.1177/0306624X20967934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095596361&doi=10.1177%2f0306624X20967934&partnerID=40&md5=bdf427c1b6b9bcbb4c43b129c4121fc9","SAGE Publications Inc.",,Article,"Article in Press","",Scopus,2-s2.0-85095596361
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Bleidorn W., Hopwood C.J., Ackerman R.A., Witt E.A., Kandler C., Riemann R., Samuel D.B., Donnellan M.B.","27367623900;9638074800;35093795700;24177896200;25638612900;7005704624;57203174550;57203078349;","The healthy personality from a basic trait perspective.",2020,"Journal of Personality and Social Psychology","118","6",,"1207","1225",,19,"10.1037/pspp0000231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059631984&doi=10.1037%2fpspp0000231&partnerID=40&md5=e653122e08e908794548eda885061864","American Psychological Association","30614724",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059631984
"Merillat B.D., González-Vallejo C.","57196094094;6602185757;","Compensatory health beliefs relate to decision-making coherence and health patterns",2019,"Ohio Journal of Science","119","2",,"79","91",,,"10.18061/ojs.v119i2.6709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078550308&doi=10.18061%2fojs.v119i2.6709&partnerID=40&md5=be6b00a402b152772c08cc5e85eacd6d","Ohio Academy of Science",,Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85078550308
"Rowland Z., Wenzel M., Kubiak T.","57189988547;55649250000;8762960900;","Effects of an Ultra-brief Computer-based Mindfulness Training on Mindfulness and Self-control: a Randomised Controlled Trial Using a 40-Day Ecological Momentary Assessment",2019,"Mindfulness","10","11",,"2312","2326",,7,"10.1007/s12671-019-01204-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070102608&doi=10.1007%2fs12671-019-01204-9&partnerID=40&md5=de9ca1fb8b5e56cbbdd5283ece756d59","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-85070102608
"Stavrova O., Pronk T., Kokkoris M.D.","36615833200;26641461600;57210088437;","Choosing goals that express the true self: A novel mechanism of the effect of self-control on goal attainment",2019,"European Journal of Social Psychology","49","6",,"1329","1336",,5,"10.1002/ejsp.2559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059848474&doi=10.1002%2fejsp.2559&partnerID=40&md5=aa19bcb55036b2f02b5d08f961b96ad8","John Wiley and Sons Ltd",,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85059848474
"Kong D.T., Jolly P.M.","55338556100;57195204574;","Lay Beliefs About Attention to and Awareness of the Present: Implicit Mindfulness Theory (IMT) and Its Workplace Implications",2019,"Journal of Business and Psychology","34","5",,"685","707",,3,"10.1007/s10869-018-9606-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057595350&doi=10.1007%2fs10869-018-9606-1&partnerID=40&md5=a796240f1f8d41958e4169a48f9fe339","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-85057595350
"Ryu H.-S., Ko K.S.","56419318400;57210839990;","Understanding speculative investment behavior in the Bitcoin context from a dual-systems perspective",2019,"Industrial Management and Data Systems","119","7",,"1431","1456",,1,"10.1108/IMDS-10-2018-0441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071674486&doi=10.1108%2fIMDS-10-2018-0441&partnerID=40&md5=29e5ad57e90f23e8988738164af690aa","Emerald Group Holdings Ltd.",,Article,"Final","",Scopus,2-s2.0-85071674486
"Kokkoris M.D., Hoelzl E., Alós-Ferrer C.","57210088437;23967620300;6602688060;","True to which self? Lay rationalism and decision satisfaction in self-control conflicts",2019,"Journal of Personality and Social Psychology","117","2",,"417","447",,4,"10.1037/pspp0000242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063507661&doi=10.1037%2fpspp0000242&partnerID=40&md5=d0daa848b659721eb3918acdafffbf57","American Psychological Association Inc.","30920281",Article,"Final","",Scopus,2-s2.0-85063507661
"Shao X., Ni X.","57204732306;36111518900;","Online public communication with a moderation of self-control: Anonymity and self-concept clarity",2019,"Proceedings of the 3rd World Conference on Smart Trends in Systems, Security and Sustainability, WorldS4 2019",,,"8904036","293","296",,,"10.1109/WorldS4.2019.8904036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075857611&doi=10.1109%2fWorldS4.2019.8904036&partnerID=40&md5=d263b6e614f2b976389653bc111db280","Institute of Electrical and Electronics Engineers Inc.",,Conference Paper,"Final","",Scopus,2-s2.0-85075857611
"Ghorbani N., Chen Z.J., Rabiee F., Watson P.J.","6506648058;56828298700;57211352685;55906302400;","Religious fundamentalism in Iran: Religious and psychological adjustment within a Muslim cultural context",2019,"Archive for the Psychology of Religion","41","2",,"73","88",,5,"10.1177/0084672419878832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073601376&doi=10.1177%2f0084672419878832&partnerID=40&md5=4ffc9dc06420d1608ca62f5e91930ee2","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-85073601376
"Wendelboe-Nelson C., Kelly S., Kennedy M., Cherrie J.W.","55503983900;57146200400;55479343400;7005980001;","A scoping review of mapping research on green space and associated mental health benefits",2019,"International Journal of Environmental Research and Public Health","16","12","2081","","",,42,"10.3390/ijerph16122081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067939224&doi=10.3390%2fijerph16122081&partnerID=40&md5=2469856480e51558c76d33d9df2e15fb","MDPI AG","31212860",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067939224
"Zemack-Rugar Y., Corus C., Brinberg D.","23391522800;26653417100;56578258500;","If at first you do succeed, do you try, try again? Developing the persistence– licensing response measure to understand, predict, and modify behavior following subgoal success",2019,"Journal of Marketing Research","56","2",,"324","344",,4,"10.1177/0022243718811296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061593230&doi=10.1177%2f0022243718811296&partnerID=40&md5=650401eae6c15a1992ca374b5f48726a","SAGE Publications Ltd",,Article,"Final","",Scopus,2-s2.0-85061593230
"Stavrova O., Kokkoris M.D.","36615833200;57210088437;","Struggling to be liked: The prospective effect of trait self-control on social desirability and the moderating role of agreeableness",2019,"International Journal of Psychology","54","2",,"232","236",,6,"10.1002/ijop.12444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023644531&doi=10.1002%2fijop.12444&partnerID=40&md5=599bdc7297d7d859fa4a62d23eee2042","Wiley-Blackwell Publishing Ltd","28703330",Article,"Final","",Scopus,2-s2.0-85023644531
"Mergelsberg E.L.P., MacLeod C., Mullan B., Rudaizky D., Allom V., Houben K., Lipp O.V.","57204962261;55751744332;24344595500;55611760600;39260997700;14044871500;7004506548;","Food healthiness versus tastiness: Contrasting their impact on more and less successful healthy shoppers within a virtual food shopping task",2019,"Appetite","133",,,"405","413",,2,"10.1016/j.appet.2018.11.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058175928&doi=10.1016%2fj.appet.2018.11.029&partnerID=40&md5=55fb702a97ef4fd95eb5969f5937fc27","Academic Press","30517890",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85058175928
"Garcia-Argibay M.","57199176508;","The Relationship Between the Big Five Personality Traits, Impulsivity, and Anabolic Steroid Use",2019,"Substance Use and Misuse","54","2",,"236","246",,5,"10.1080/10826084.2018.1512630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055750861&doi=10.1080%2f10826084.2018.1512630&partnerID=40&md5=08eba9c58cbe69d04122be817fa4168c","Taylor and Francis Ltd","30375916",Article,"Final","",Scopus,2-s2.0-85055750861
"Lindner C., Lindner M.A., Retelsdorf J.","54899361600;56591920500;24071829300;","Measuring Self-Control Depletion in Achievement Situations: A Validation of the 5-Item Brief State Self-Control Capacity Scale [Die 5-Item-Skala zur Messung der momentan verfügbaren Selbstkontrollkapazität (SMS-5) im Lern-und Leistungskontext]",2019,"Diagnostica","65","4",,"228","242",,4,"10.1026/0012-1924/a000230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071994541&doi=10.1026%2f0012-1924%2fa000230&partnerID=40&md5=aead4c45fdb872c2ab3f3d7621bc8785","Hogrefe Verlag GmbH & Co. KG",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85071994541
"Mendes N., Oligschläger S., Lauckner M.E., Golchert J., Huntenburg J.M., Falkiewicz M., Ellamil M., Krause S., Baczkowski B.M., Cozatl R., Osoianu A., Kumral D., Pool J., Golz L., Dreyer M., Haueis P., Jost R., Kramarenko Y., Engen H., Ohrnberger K., Gorgolewski K.J., Farrugia N., Babayan A., Reiter A., Schaare H.L., Reinelt J., Röbbig J., Uhlig M., Erbey M., Gaebler M., Smallwood J., Villringer A., Margulies D.S.","22941543800;57191856886;57191824338;55936061100;57188878268;54896471500;25029813700;57205746743;55795591900;57173246200;57205735441;57204154120;57008777700;57205737750;57205746705;55354522100;57205747185;57201132058;55507047700;57205738823;55355064700;21833301000;57204163300;56516306300;56069530700;57204152102;57205744904;37078352900;57204155672;55551073400;7005623257;7007157177;21834034400;","Data descriptor: A functional connectome phenotyping dataset including cognitive state and personality measures",2019,"Scientific Data","6",,"180307","","",,25,"10.1038/sdata.2018.307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061377662&doi=10.1038%2fsdata.2018.307&partnerID=40&md5=2cd43679ec684193ebeb33ff43a11298","Nature Publishing Groups","30747913",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85061377662
"Minnich A., Erford B.T., Bardhoshi G., Atalay Z., Chang C.Y., Muller L.A.","57200185177;6603588714;35106731900;57197847069;57304783800;57205349503;","Systematic Evaluation of Psychometric Characteristics of the Michigan Alcoholism Screening Test 13-Item Short (SMAST) and 10-Item Brief (BMAST) Versions",2019,"Journal of Counseling and Development","97","1",,"15","24",,5,"10.1002/jcad.12231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059681056&doi=10.1002%2fjcad.12231&partnerID=40&md5=5220f3da28838a04ab2b2dc007257d52","Wiley Blackwell",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059681056
"Jordalen G., Lemyre P.-N., Solstad B.E., Ivarsson A.","57192420816;6508039508;56707674100;36089094600;","The role of self-control and motivation on exhaustion in youth athletes: A longitudinal perspective",2018,"Frontiers in Psychology","9","DEC","2449","","",,6,"10.3389/fpsyg.2018.02449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057580555&doi=10.3389%2ffpsyg.2018.02449&partnerID=40&md5=e31adf413f1d789f84e5991b05f2ef63","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85057580555
"Cantarero K., Van Tilburg W.A.P., Szarota P.","56453393200;38962081300;6506835369;","Differentiating everyday lies: A typology of lies based on beneficiary and motivation",2018,"Personality and Individual Differences","134",,,"252","260",,3,"10.1016/j.paid.2018.05.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049310829&doi=10.1016%2fj.paid.2018.05.013&partnerID=40&md5=39eab349318984472bca5e542d148af7","Elsevier Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85049310829
"Burkley E., Burkley M., Curtis J., Hatvany T.","14521983000;23011268500;57199320087;56495157700;","Lead us not into temptation: The seven deadly sins as a taxonomy of temptations",2018,"Social and Personality Psychology Compass","12","10","e12416","","",,2,"10.1111/spc3.12416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053443044&doi=10.1111%2fspc3.12416&partnerID=40&md5=57c22d57fe7e21e55c19193d0aba187a","Wiley-Blackwell",,Article,"Final","",Scopus,2-s2.0-85053443044
"Fujita K., Carnevale J.J., Trope Y.","12787537400;36194656700;7004477137;","Understanding Self-Control as a Whole vs. Part Dynamic",2018,"Neuroethics","11","3",,"283","296",,20,"10.1007/s12152-016-9250-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959077306&doi=10.1007%2fs12152-016-9250-2&partnerID=40&md5=345af352a9d17cb535800589bd8265c1","Springer Science and Business Media B.V.",,Article,"Final","",Scopus,2-s2.0-84959077306
"Samuel R.D., Englert C., Zhang Q., Basevitch I.","37102731700;57189178989;57192671843;26429195800;","Hi ref, are you in control? Self-control, ego-depletion, and performance in soccer referees",2018,"Psychology of Sport and Exercise","38",,,"167","175",,12,"10.1016/j.psychsport.2018.06.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049324959&doi=10.1016%2fj.psychsport.2018.06.009&partnerID=40&md5=e04d9b9a0c6a1e390a9e24f1398810ae","Elsevier Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85049324959
"Schenk G., Duindam H.M., Creemers H.E., Hoeve M., Stams G.J.J.M., Asscher J.J.","57202849288;57202846776;35093805100;16238750800;16065196600;12785104900;","The effectiveness of Dutch Cell Dogs in correctional facilities in the Netherlands: A study protocol of a quasi-experimental trial",2018,"BMC Psychiatry","18","1","218","","",,6,"10.1186/s12888-018-1797-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049578202&doi=10.1186%2fs12888-018-1797-5&partnerID=40&md5=edef619d7e55fdf44fe64c354cf56d1e","BioMed Central Ltd.","29976174",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85049578202
"Ng V., Tay L., Kuykendall L.","56489968900;34870886500;55801261300;","The development and validation of a measure of character: The CIVIC",2018,"Journal of Positive Psychology","13","4",,"346","372",,10,"10.1080/17439760.2017.1291850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014560701&doi=10.1080%2f17439760.2017.1291850&partnerID=40&md5=e69f447fa819349e7309b2b228ab4ff7","Routledge",,Article,"Final","",Scopus,2-s2.0-85014560701
"Pfeffer I., Strobach T.","23991058200;18538624500;","Behavioural automaticity moderates and mediates the relationship of trait self-control and physical activity behaviour",2018,"Psychology and Health","33","7",,"925","940",,12,"10.1080/08870446.2018.1436176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041910648&doi=10.1080%2f08870446.2018.1436176&partnerID=40&md5=353828af3dbba5d458796d829da729b1","Routledge","29431514",Article,"Final","",Scopus,2-s2.0-85041910648
"McNulty J.K., Meltzer A.L., Makhanova A., Maner J.K.","7102729349;36519325400;55776627000;6602626645;","Attentional and evaluative biases help people maintain relationships by avoiding infidelity",2018,"Journal of Personality and Social Psychology","115","1",,"76","95",,22,"10.1037/pspi0000127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048667201&doi=10.1037%2fpspi0000127&partnerID=40&md5=1a26c5a40d265082b58e8dc1dcec7696","American Psychological Association Inc.","29431460",Article,"Final","",Scopus,2-s2.0-85048667201
"Grubbs J.B., Wilt J.A., Exline J.J., Pargament K.I.","54907163700;24777513200;6603930548;7004253169;","Predicting pornography use over time: Does self-reported “addiction” matter?",2018,"Addictive Behaviors","82",,,"57","64",,19,"10.1016/j.addbeh.2018.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042486853&doi=10.1016%2fj.addbeh.2018.02.028&partnerID=40&md5=7cc0822a375ec4856315f0e58cb8620e","Elsevier Ltd","29494859",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85042486853
"Vonasch A.J., Reynolds T., Winegard B.M., Baumeister R.F.","16425076400;56120916500;37017750500;7102470609;","Death Before Dishonor: Incurring Costs to Protect Moral Reputation",2018,"Social Psychological and Personality Science","9","5",,"604","613",,22,"10.1177/1948550617720271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041369630&doi=10.1177%2f1948550617720271&partnerID=40&md5=6c88d7ab618ece74ad09fe48a1445e4a","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-85041369630
"Li J., Zhao Y., Kong F., Du S., Yang S., Wang S.","50161632500;55887526600;57195717499;57202037831;36026051700;55805991300;","Psychometric Assessment of the Short Grit Scale Among Chinese Adolescents",2018,"Journal of Psychoeducational Assessment","36","3",,"291","296",,64,"10.1177/0734282916674858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033671409&doi=10.1177%2f0734282916674858&partnerID=40&md5=aba5809ccd8e432567cd2985bdd9fe0c","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-85033671409
"Sweeney A.M., Freitas A.L.","56121950700;7102314418;","Construing action abstractly and experiencing autonomy: Implications for physical activity and diet",2018,"Motivation and Emotion","42","2",,"161","177",,2,"10.1007/s11031-017-9645-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032826429&doi=10.1007%2fs11031-017-9645-3&partnerID=40&md5=6ba5d73f409bd14500ac1bfe41019013","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-85032826429
"Zhou Y.Q., Gan D.Z.Q., Hoo E.C.C., Chong D., Chu C.M.","57202105325;57196031284;55184091300;56262168100;57195126965;","Evaluating the Violence Prevention Program: group and individual changes in aggression, anger, self-control, and empathy",2018,"Journal of Forensic Psychiatry and Psychology","29","2",,"265","287",,11,"10.1080/14789949.2017.1375541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031097444&doi=10.1080%2f14789949.2017.1375541&partnerID=40&md5=1c1d04c036c7294f07f7dea653d27f3c","Routledge",,Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85031097444
"Modic D., Anderson R., Palomäki J.","56378938500;56431276600;55177884100;","We will make you like our research: The development of a susceptibility-to-persuasion scale",2018,"PLoS ONE","13","3","e0194119","","",,15,"10.1371/journal.pone.0194119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044074502&doi=10.1371%2fjournal.pone.0194119&partnerID=40&md5=9aa6f502d538242ba314e81789861c1a","Public Library of Science","29543845",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85044074502
"Elliot A.J., Aldhobaiban N., Murayama K., Kobeisy A., Gocłowska M.A., Khyat A.","7005287437;56811661200;11042338700;55795482600;55319088500;57090867300;","Impression management and achievement motivation: Investigating substantive links",2018,"International Journal of Psychology","53","1",,"16","22",,9,"10.1002/ijop.12252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956620188&doi=10.1002%2fijop.12252&partnerID=40&md5=e3750b7336e806a42a7144af2188b35b","Wiley-Blackwell Publishing Ltd","26805032",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84956620188
"Ludwig R.M., Srivastava S., Berkman E.T.","57208817395;35094654500;25958940400;","Planfulness: A Process-Focused Construct of Individual Differences in Goal Achievement",2018,"Collabra: Psychology","4","1","28","","",,9,"10.1525/collabra.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067623490&doi=10.1525%2fcollabra.136&partnerID=40&md5=a57b5fb42791b5b56a003fa3d41fd0c2","University of California Press",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85067623490
"Fernández I., Caballero A., Muñoz D., Aguilar P., Carrera P.","15051803400;36146772900;8842286600;35783994200;7005750450;","Abstract Construal Level and its Link to Self-Control and to Cross-Situational Consistency in Self-Concept: Predicting Health-Risk Behavioral Intentions",2018,"Spanish Journal of Psychology",,,,"","",,3,"10.1017/sjp.2018.43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055609165&doi=10.1017%2fsjp.2018.43&partnerID=40&md5=d0e19a421ccd8557ec5853c7428e8394","Cambridge University Press","30355389",Article in Press,"Article in Press","",Scopus,2-s2.0-85055609165
"Dursun O.O., Donmez O., Akbulut Y.","56958113700;25521267800;24178202100;","Predictors of cyberloafing among preservice information technology teachers",2018,"Contemporary Educational Technology","9","1",,"22","41",,17,"10.30935/cedtech/6209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055340428&doi=10.30935%2fcedtech%2f6209&partnerID=40&md5=a64e9c0d717c06de121b16d03cbb2a7b","Anadolu University, Faculty of Communication Sciences",,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85055340428
"Zolotareva A.A.","57200380109;","The self-possession scale: Psychometric features and perspectives of application",2018,"Psikhologicheskii Zhurnal","39","1",,"103","114",,,"10.7868/S0205959218010105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046620141&doi=10.7868%2fS0205959218010105&partnerID=40&md5=026ddd3dec0b19404be8d25a9a73bd98","Russian Academy of Sciences",,Article,"Final","",Scopus,2-s2.0-85046620141
"Park J.-Y., Jang S.","55292769300;14022390400;","Did I Get the Best Discount? Counterfactual Thinking of Tourism Products",2018,"Journal of Travel Research","57","1",,"17","30",,16,"10.1177/0047287516680775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038219510&doi=10.1177%2f0047287516680775&partnerID=40&md5=c34e29c3aa5cd313d7f9db92876e6fdb","SAGE Publications Ltd",,Article,"Final","",Scopus,2-s2.0-85038219510
"Maccarrone-Eaglen A., Schofield P.","36099584700;13410917900;","A cross-cultural and cross-gender analysis of compulsive buying behaviour's core dimensions",2018,"International Journal of Consumer Studies","42","1",,"173","185",,6,"10.1111/ijcs.12396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032737194&doi=10.1111%2fijcs.12396&partnerID=40&md5=efe1a3f220985221a38bf9b6fcbfc1ff","Blackwell Publishing Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85032737194
"Konopaske R., Kirby E.G., Kirby S.L.","6508369189;35514973600;7102236834;","Positive disposition in the prediction of strategic independence among millennials",2017,"Administrative Sciences","7","4","38","","",,,"10.3390/admsci7040038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118824444&doi=10.3390%2fadmsci7040038&partnerID=40&md5=2a9a296b346d72f5daa916b1aa5002b4","MDPI",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118824444
"Eagle M.N.","7004922539;","Core concepts in classical psychoanalysis: Clinical, research evidence and conceptual critiques",2017,"Core Concepts in Classical Psychoanalysis: Clinical, Research Evidence and Conceptual Critiques",,,,"1","318",,2,"10.4324/9781315731469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042127138&doi=10.4324%2f9781315731469&partnerID=40&md5=b347301dd3d4c7454dabf811684ce7ca","Taylor and Francis",,Book,"Final","",Scopus,2-s2.0-85042127138
"Ein-Gar D., Steinhart Y.","36656920900;27067944900;","Self-control and task timing shift self-efficacy and influence willingness to engage in effortful tasks",2017,"Frontiers in Psychology","8","OCT","1788","","",,7,"10.3389/fpsyg.2017.01788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040936585&doi=10.3389%2ffpsyg.2017.01788&partnerID=40&md5=98a839d265f8ea146fd1724269d6a080","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85040936585
"Claes L., Müller A.","7103179541;56472199900;","Resisting Temptation: Is Compulsive Buying an Expression of Personality Deficits?",2017,"Current Addiction Reports","4","3",,"237","245",,15,"10.1007/s40429-017-0152-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048099162&doi=10.1007%2fs40429-017-0152-0&partnerID=40&md5=14191e186aeb7ad03401dad2ef229d9d","Springer",,Review,"Final","All Open Access, Green",Scopus,2-s2.0-85048099162
"Maccarrone-Eaglen A., Schofield P.","36099584700;13410917900;","Compulsive buying behavior: Re-evaluating its dimensions and screening",2017,"Journal of Consumer Behaviour","16","5",,"463","473",,4,"10.1002/cb.1652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018857736&doi=10.1002%2fcb.1652&partnerID=40&md5=c7d83d191dc8f6dc9fbbfc6935a26454","John Wiley and Sons Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85018857736
"Frey K.P., Gregg A.P.","7101948065;7005734740;","Experiments with people: Revelations from social psychology: Second edition",2017,"Experiments With People: Revelations From Social Psychology: Second Edition",,,,"1","266",,1,"10.4324/9781315101347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042260015&doi=10.4324%2f9781315101347&partnerID=40&md5=ac732afa9db88d4c9e63bb6f58ca069b","Taylor and Francis",,Book,"Final","",Scopus,2-s2.0-85042260015
"Pfeffer I., Strobach T.","23991058200;18538624500;","Executive functions, trait self-control, and the intention-behavior gap in physical activity behavior",2017,"Journal of Sport and Exercise Psychology","39","4",,"277","292",,18,"10.1123/jsep.2017-0112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034756247&doi=10.1123%2fjsep.2017-0112&partnerID=40&md5=881ebfcc83dedc1a0ce2a33fedefee62","Human Kinetics Publishers Inc.","29064317",Article,"Final","",Scopus,2-s2.0-85034756247
"Gledhill A., Harwood C., Forsdyke D.","56009145600;7102980445;57147304500;","Psychosocial factors associated with talent development in football: A systematic review",2017,"Psychology of Sport and Exercise","31",,,"93","112",,62,"10.1016/j.psychsport.2017.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019037806&doi=10.1016%2fj.psychsport.2017.04.002&partnerID=40&md5=232f1e6df3f12ccfbf9f75d1e8021303","Elsevier Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85019037806
"Stork M.J., Graham J.D., Bray S.R., Martin Ginis K.A.","56600209200;54788915100;7004426900;6602213082;","Using self-reported and objective measures of self-control to predict exercise and academic behaviors among first-year university students",2017,"Journal of Health Psychology","22","8",,"1056","1066",,10,"10.1177/1359105315623627","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015094597&doi=10.1177%2f1359105315623627&partnerID=40&md5=58b012bcd870c73cb01fb506453f8fe8","SAGE Publications Ltd","26786173",Article,"Final","",Scopus,2-s2.0-85015094597
"Gordeeva T.O., Osin E.N., Suchkov D.D., Ivanova T.Y., Sychev O.A., Bobrov V.V.","6602172513;35737831400;57195261001;56524921300;56528284200;57200330573;","Self-Control as a Personal Resource: Determining Its Relationships to Success, Perseverance, and Well-Being",2017,"Russian Education and Society","59","5-6",,"231","255",,5,"10.1080/10609393.2017.1408367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040906665&doi=10.1080%2f10609393.2017.1408367&partnerID=40&md5=a6429a84557a316f1494200568c73db9","Routledge",,Article,"Final","",Scopus,2-s2.0-85040906665
"Baird H.M., Webb T.L., Martin J., Sirois F.M.","57190019028;7202490578;35248701200;7003783014;","The relationship between time perspective and self-regulatory processes, abilities and outcomes: A protocol for a meta-analytical review",2017,"BMJ Open","7","6","e017000","","",,6,"10.1136/bmjopen-2017-017000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022016576&doi=10.1136%2fbmjopen-2017-017000&partnerID=40&md5=b6ff000002746f23f20789fdc3e0207c","BMJ Publishing Group","28679677",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85022016576
"Curcio A.L., Mak A.S., George A.M.","44361057800;7103123373;36657234500;","Predictors of delinquency among adolescents and young adults: A new psychosocial control perspective",2017,"Australian and New Zealand Journal of Criminology","50","2",,"155","175",,8,"10.1177/0004865816628594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019049121&doi=10.1177%2f0004865816628594&partnerID=40&md5=59a0c64eff8035bd053334f82a0e7411","SAGE Publications Ltd",,Article,"Final","",Scopus,2-s2.0-85019049121
