"source","Doctype","Article.Title","Authors","Journal.Book","Year","search_string","DOI","URL","Title_cleaned"
"Google Scholar",NA,"Momentan verfügbare Selbstkontrollkraft–Vorstellung eines Messinstruments und erste Befunde aus pädagogisch-psychologischen Kontexten 1Dieser Beitrag wurde …","A Bertrams, A Unger…","A Bertrams, A Unger… - Zeitschrift für …, 2011 - econtent.hogrefe.com","2011","balanced inventory of desirable responding",NA,"https://econtent.hogrefe.com/doi/full/10.1024/1010-0652/a000042","momentanverfgbareselbstkontrollkraftvorstellungeinesmessinstrumentsunderstebefundeauspdagogischpsychologischenkontextendieserbeitragwurde"
"Google Scholar",NA,"Social anxiety in relation to self-control depletion following social interactions","GNC BlaCkhart, J Williamson…","GNC BlaCkhart, J Williamson… - Journal of social and …, 2015 - Guilford Press","2015","balanced inventory of desirable responding",NA,"https://guilfordjournals.com/doi/abs/10.1521/jscp.2015.34.9.747","socialanxietyinrelationtoselfcontroldepletionfollowingsocialinteractions"
"Google Scholar",NA,"Does Higher Self-Control Predict Higher State-Orientation and Negative Self-Referential Emotions? A Mixed Methods Study.","D Hayes","D Hayes - 2019 - etd.auburn.edu","2019","balanced inventory of desirable responding",NA,"http://etd.auburn.edu/handle/10415/7062","doeshigherselfcontrolpredicthigherstateorientationandnegativeselfreferentialemotionsamixedmethodsstudy"
"Google Scholar",NA,"ADVANCE integrated group intervention to address both substance use and intimate partner abuse perpetration by men in substance use treatment: a …","G Gilchrist, L Potts, P Radcliffe, G Halliwell…","G Gilchrist, L Potts, P Radcliffe, G Halliwell… - BMC public health, 2021 - Springer","2021","balanced inventory of desirable responding",NA,"https://link.springer.com/article/10.1186/s12889-021-11012-3","advanceintegratedgroupinterventiontoaddressbothsubstanceuseandintimatepartnerabuseperpetrationbymeninsubstanceusetreatmenta"
"Google Scholar",NA,"Investigating the properties of the general factor (M) in bifactor models applied to Big Five or HEXACO data in terms of method or meaning","Z Chen, PJ Watson, M Biderman…","Z Chen, PJ Watson, M Biderman… - Imagination, Cognition …, 2016 - journals.sagepub.com","2016","balanced inventory of desirable responding",NA,"https://journals.sagepub.com/doi/abs/10.1177/0276236615590587","investigatingthepropertiesofthegeneralfactorminbifactormodelsappliedtobigfiveorhexacodataintermsofmethodormeaning"
"Google Scholar",NA,"Perceived control and negative outcome expectancy as mediators of problem gamblers' readiness to change and predictors of abstinence versus moderation as …","SLE Jeyakumar","SLE Jeyakumar - 2005 - scholar.uwindsor.ca","2005","balanced inventory of desirable responding",NA,"https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=4027&context=etd","perceivedcontrolandnegativeoutcomeexpectancyasmediatorsofproblemgamblersreadinesstochangeandpredictorsofabstinenceversusmoderationas"
"Google Scholar",NA,"Unethical for the sake of the group: risk of social exclusion and pro-group unethical behavior.","S Thau, R Derfler","S Thau, R Derfler-Rozin, M Pitesa… - Journal of applied …, 2015 - psycnet.apa.org","2015","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/doiLanding?doi=10.1037/a0036708","unethicalforthesakeofthegroupriskofsocialexclusionandprogroupunethicalbehavior"
"Google Scholar",NA,"Implicit theories of body weight: Entity beliefs can weigh you down","JL Burnette","JL Burnette - Personality and social psychology Bulletin, 2010 - journals.sagepub.com","2010","balanced inventory of desirable responding",NA,"https://journals.sagepub.com/doi/abs/10.1177/0146167209359768","implicittheoriesofbodyweightentitybeliefscanweighyoudown"
"Google Scholar",NA,"The Selfish Side of Self–Control","L Uziel, URI Hefetz","L Uziel, URI Hefetz - European Journal of Personality, 2014 - journals.sagepub.com","2014","balanced inventory of desirable responding",NA,"https://journals.sagepub.com/doi/abs/10.1002/per.1972","theselfishsideofselfcontrol"
"Google Scholar",NA,"Validation of an implicit measure of antagonistic narcissism","PE Heinze, R Fatfouta, M Schröder","PE Heinze, R Fatfouta, M Schröder-Abé - Journal of Research in …, 2020 - Elsevier","2020","balanced inventory of desirable responding",NA,"https://www.sciencedirect.com/science/article/pii/S0092656620300817","validationofanimplicitmeasureofantagonisticnarcissism"
"Google Scholar",NA,"The effects of self-construal priming on normative influence: Interdependence increases conformity to injunctive social norms","RP Jacobson","RP Jacobson - 2010 - search.proquest.com","2010","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/9f51b86a9845c539c7d0edabecda92a8/1?pq-origsite=gscholar&cbl=18750","theeffectsofselfconstrualprimingonnormativeinfluenceinterdependenceincreasesconformitytoinjunctivesocialnorms"
"Google Scholar",NA,"Stop and start control at work: Differential validity of two types of self‐control for work behavior and emotion regulation","EAJ van Hooft, LM Kreemers","EAJ van Hooft, LM Kreemers - International Journal of Selection …, 2021 - Wiley Online Library","2021","balanced inventory of desirable responding",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1111/ijsa.12359","stopandstartcontrolatworkdifferentialvalidityoftwotypesofselfcontrolforworkbehaviorandemotionregulation"
"Google Scholar",NA,"A Multimethod Assessment of Effortful Self-Regulation in Personality Research: Temperamental, Neuropsychological, and Psychophysiological Concomitants","SA Dinovo Jr","SA Dinovo Jr - 2009 - rave.ohiolink.edu","2009","balanced inventory of desirable responding",NA,"https://rave.ohiolink.edu/etdc/view?acc_num=osu1259076504","amultimethodassessmentofeffortfulselfregulationinpersonalityresearchtemperamentalneuropsychologicalandpsychophysiologicalconcomitants"
"Google Scholar",NA,"Patience as a virtue: Religious and psychological perspectives","SA Schnitker, RA Emmons","SA Schnitker, RA Emmons - Research in the Social Scientific Study of …, 2007 - brill.com","2007","balanced inventory of desirable responding",NA,"https://brill.com/downloadpdf/book/edcoll/9789047419648/Bej.9789004158511.i-301_012.pdf","patienceasavirtuereligiousandpsychologicalperspectives"
"Google Scholar",NA,"Gail Gilchrist1, Sabine Landau2, Polly Radcliffe1, Mary McMurran3, Gene Feder4, Caroline Easton5, Steve Parrott6, Sara Kirkpatrick7, Juliet Henderson1 …","G Halliwell, S Dheensa, C Berbary, J Li…","G Halliwell, S Dheensa, C Berbary, J Li… - 2020 - pilotfeasibilitystudies.biomedcentral …","2020","balanced inventory of desirable responding",NA,"https://pilotfeasibilitystudies.biomedcentral.com/track/pdf/10.1186/s40814-020-00580-7.pdf","gailgilchristsabinelandaupollyradcliffemarymcmurrangenefedercarolineeastonsteveparrottsarakirkpatrickjuliethenderson"
"Google Scholar",NA,"A study protocol to assess the feasibility of conducting an evaluation trial of the ADVANCE integrated intervention to address both substance use and intimate …","G Gilchrist, S Landau, P Radcliffe, M McMurran…","G Gilchrist, S Landau, P Radcliffe, M McMurran… - Pilot and feasibility …, 2020 - Springer","2020","balanced inventory of desirable responding",NA,"https://link.springer.com/article/10.1186/s40814-020-00580-7","astudyprotocoltoassessthefeasibilityofconductinganevaluationtrialoftheadvanceintegratedinterventiontoaddressbothsubstanceuseandintimate"
"Google Scholar",NA,"An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being","MD Robinson, MR Persich, RL Irvin","MD Robinson, MR Persich, RL Irvin - Journal of Research in Personality, 2022 - Elsevier","2022","balanced inventory of desirable responding",NA,"https://www.sciencedirect.com/science/article/pii/S0092656622000204","anegoeffectivenessperspectiveofsuccessfulselfcontrolanindividualdifferenceanditslinkstosocialfunctioningandwellbeing"
"Google Scholar",NA,"Personal factors as antecedents of perceived financial well-being: evidence from Brazil","MC Ponchio, RA Cordeiro…","MC Ponchio, RA Cordeiro… - International Journal of …, 2019 - emerald.com","2019","balanced inventory of desirable responding",NA,"https://www.emerald.com/insight/content/doi/10.1108/IJBM-03-2018-0077/full/html","personalfactorsasantecedentsofperceivedfinancialwellbeingevidencefrombrazil"
"Google Scholar",NA,"The Restorative Effects of Smoking upon Self-Control Resources","BW Heckman","BW Heckman - 2010 - search.proquest.com","2010","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/94c66517e8f6a737c8e97d7ac59d6702/1?pq-origsite=gscholar&cbl=18750","therestorativeeffectsofsmokinguponselfcontrolresources"
"Google Scholar",NA,"Quitting-unmotivated and quitting-motivated cigarette smokers exhibit different patterns of cue-elicited brain activation when anticipating an opportunity to smoke.","SJ Wilson, MA Sayette, JA Fiez","SJ Wilson, MA Sayette, JA Fiez - Journal of Abnormal Psychology, 2012 - psycnet.apa.org","2012","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/journals/abn/121/1/198.html?uid=2011-18195-001","quittingunmotivatedandquittingmotivatedcigarettesmokersexhibitdifferentpatternsofcueelicitedbrainactivationwhenanticipatinganopportunitytosmoke"
"Google Scholar",NA,"Enkel impressie of ook werkelijkheid: Exploratief onderzoek naar de relatie tussen procedurele kennis, impressiemanagement en gewenst gedrag bij studenten …","L Dirks","L Dirks - libstore.ugent.be",NA,"balanced inventory of desirable responding",NA,"https://libstore.ugent.be/fulltxt/RUG01/002/165/987/RUG01-002165987_2014_0001_AC.pdf","enkelimpressieofookwerkelijkheidexploratiefonderzoeknaarderelatietussenprocedurelekennisimpressiemanagementengewenstgedragbijstudenten"
"Google Scholar",NA,"What makes people want more self-control: A duo of deficiency and necessity.","L Uziel, RF Baumeister, JL Alquist","L Uziel, RF Baumeister, JL Alquist - Motivation Science, 2021 - psycnet.apa.org","2021","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/record/2021-08169-001","whatmakespeoplewantmoreselfcontroladuoofdeficiencyandnecessity"
"Google Scholar",NA,"Overcontrolled Tendencies in Refractory Depression compared to Acute Non-Chronic Depression; The Importance of Treating Maladaptive Personality Style","G Taylor","G Taylor - 2013 - ore.exeter.ac.uk","2013","balanced inventory of desirable responding",NA,"https://ore.exeter.ac.uk/repository/handle/10871/14052","overcontrolledtendenciesinrefractorydepressioncomparedtoacutenonchronicdepressiontheimportanceoftreatingmaladaptivepersonalitystyle"
"Google Scholar",NA,"Predictors of readiness to change and self-efficacy among ex-offenders during reentry","M Davenport","M Davenport - 2014 - search.proquest.com","2014","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/da2c236e4f1ca31df51d7a6e6ca4ad1b/1?pq-origsite=gscholar&cbl=18750","predictorsofreadinesstochangeandselfefficacyamongexoffendersduringreentry"
"Google Scholar",NA,"Messung dispositioneller selbstkontroll-kapazität: eine deutsche adaptation der kurzform der self-control scale (SCS-KD)","A Bertrams, O Dickhäuser","A Bertrams, O Dickhäuser - Diagnostica, 2009 - econtent.hogrefe.com","2009","balanced inventory of desirable responding",NA,"https://econtent.hogrefe.com/doi/abs/10.1026/0012-1924.55.1.2","messungdispositionellerselbstkontrollkapazitteinedeutscheadaptationderkurzformderselfcontrolscalescskd"
"Google Scholar",NA,"Youth intimate partner abuse: relationship conflict among Australian youth","E Daff","E Daff - 2019 - researchbank.swinburne.edu.au","2019","balanced inventory of desirable responding",NA,"https://researchbank.swinburne.edu.au/items/f1616c67-77c7-43f9-8966-5bbffed61ee6/1/Elizabeth_Daff_Thesis_2.pdf","youthintimatepartnerabuserelationshipconflictamongaustralianyouth"
"Google Scholar",NA,"Pride: A meta-analytic project.","LR Dickens, RW Robins","LR Dickens, RW Robins - Emotion, 2020 - psycnet.apa.org","2020","balanced inventory of desirable responding",NA,"https://psycnet.apa.org/record/2020-84573-001","prideametaanalyticproject"
"Google Scholar",NA,"Measures of state self-control and its causes for trackable activities","D Weathers, JC Siemens","D Weathers, JC Siemens - Journal of Business Research, 2018 - Elsevier","2018","balanced inventory of desirable responding",NA,"https://www.sciencedirect.com/science/article/pii/S0148296318304041","measuresofstateselfcontrolanditscausesfortrackableactivities"
"Google Scholar",NA,"The effect of construal level on consumers' anticipated (un) ethical behavior: Hypothesis and observed empirical findings","NB Amaral","NB Amaral - 2013 - search.proquest.com","2013","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/bf60d3b8978520df87b77a792c65bf56/1?pq-origsite=gscholar&cbl=18750","theeffectofconstruallevelonconsumersanticipatedunethicalbehaviorhypothesisandobservedempiricalfindings"
"Google Scholar",NA,"The Effect of Construal Level on Consumers' Anticipated (Un) Ethical Behavior","N Amaral","N Amaral - 2013 - conservancy.umn.edu","2013","balanced inventory of desirable responding",NA,"https://conservancy.umn.edu/handle/11299/174870","theeffectofconstruallevelonconsumersanticipatedunethicalbehavior"
"Google Scholar",NA,"Cue-elicited neural activity and functional connectivity among smokers associated with the decision to smoke","SL Henry","SL Henry - 2014 - etda.libraries.psu.edu","2014","balanced inventory of desirable responding",NA,"https://etda.libraries.psu.edu/catalog/23647","cueelicitedneuralactivityandfunctionalconnectivityamongsmokersassociatedwiththedecisiontosmoke"
"Google Scholar",NA,"Development and Validation of the Positive Affect Reduction Scale","BK Randazzo","BK Randazzo - 2015 - search.proquest.com","2015","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/36bf645f4e774eb2b8c7a65257fbcb70/1?pq-origsite=gscholar&cbl=18750","developmentandvalidationofthepositiveaffectreductionscale"
"Google Scholar",NA,"Self-focused versus other-focused cognitive strategies for coping with smoking cue exposure: A functional magnetic resonance imaging study","SJ Wilson","SJ Wilson - 2008 - search.proquest.com","2008","balanced inventory of desirable responding",NA,"https://search.proquest.com/openview/ad0b4ce71bd7653288b905bbfb6e2bf9/1?pq-origsite=gscholar&cbl=18750","selffocusedversusotherfocusedcognitivestrategiesforcopingwithsmokingcueexposureafunctionalmagneticresonanceimagingstudy"
"Google Scholar",NA,"Dishonesty and the self: Ironic effects of ego depletion","J Thomas","J Thomas - 2015 - shareok.org","2015","balanced inventory of desirable responding",NA,"https://shareok.org/handle/11244/15519","dishonestyandtheselfironiceffectsofegodepletion"
"Google Scholar",NA,"Understanding the application of scepticism in an audit setting: The role of seduction","MJ Khan","MJ Khan - 2016 - unsworks.unsw.edu.au","2016","balanced inventory of desirable responding",NA,"https://unsworks.unsw.edu.au/fapi/datastream/unsworks:39937/SOURCE02?view=true","understandingtheapplicationofscepticisminanauditsettingtheroleofseduction"
"Google Scholar",NA,"The utility and feasibility of metric calibration for basic psychological research","E LeBel","E LeBel - 2011 - ir.lib.uwo.ca","2011","balanced inventory of desirable responding",NA,"https://ir.lib.uwo.ca/etd/174/","theutilityandfeasibilityofmetriccalibrationforbasicpsychologicalresearch"
"Google Scholar",NA,"Scrum and Self-Control: How a team-based software development methodology can support team members' self-control","P Heß","P Heß - 2016 - archiv.ub.uni-heidelberg.de","2016","balanced inventory of desirable responding",NA,"https://archiv.ub.uni-heidelberg.de/volltextserver/20067/","scrumandselfcontrolhowateambasedsoftwaredevelopmentmethodologycansupportteammembersselfcontrol"
"Google Scholar",NA,"Investigation of factors related to performance and retention of engineering students.","NB Honken","NB Honken - 2014 - ir.library.louisville.edu","2014","balanced inventory of desirable responding",NA,"https://ir.library.louisville.edu/etd/2275/","investigationoffactorsrelatedtoperformanceandretentionofengineeringstudents"
"Google Scholar",NA,"Good actors but bad apples: Deviant consequences of daily impression management at work.","AC Klotz, W He, KC Yam, MC Bolino…","AC Klotz, W He, KC Yam, MC Bolino… - Journal of Applied …, 2018 - psycnet.apa.org","2018","impression management",NA,"https://psycnet.apa.org/doiLanding?doi=10.1037/apl0000335","goodactorsbutbadapplesdeviantconsequencesofdailyimpressionmanagementatwork"
"Google Scholar",NA,"The effect of public social context on self-control: Depletion for neuroticism and restoration for impression management","L Uziel, RF Baumeister","L Uziel, RF Baumeister - Personality and Social Psychology …, 2012 - journals.sagepub.com","2012","impression management",NA,"https://journals.sagepub.com/doi/abs/10.1177/0146167211427310","theeffectofpublicsocialcontextonselfcontroldepletionforneuroticismandrestorationforimpressionmanagement"
"Google Scholar",NA,"Life seems different with you around: Differential shifts in cognitive appraisal in the mere presence of others for neuroticism and impression management","L Uziel","L Uziel - Personality and Individual Differences, 2015 - Elsevier","2015","impression management",NA,"https://www.sciencedirect.com/science/article/pii/S019188691400525X","lifeseemsdifferentwithyouarounddifferentialshiftsincognitiveappraisalinthemerepresenceofothersforneuroticismandimpressionmanagement"
"Google Scholar",NA,"Impression management leads to spent resources: the influence of impression management on a person's self-control","M Badenhop","M Badenhop - 2008 - essay.utwente.nl","2008","impression management",NA,"http://essay.utwente.nl/58425/","impressionmanagementleadstospentresourcestheinfluenceofimpressionmanagementonapersonsselfcontrol"
"Google Scholar",NA,"Being Out of the Loop: Workplace Deviance as a Mediator of the Impact of Impression Management on Workplace Exclusion","T Fitriastuti, A Vanderstraeten","T Fitriastuti, A Vanderstraeten - Sustainability, 2022 - mdpi.com","2022","impression management",NA,"https://www.mdpi.com/1452754","beingoutoftheloopworkplacedevianceasamediatoroftheimpactofimpressionmanagementonworkplaceexclusion"
"Google Scholar",NA,"Assessing jail inmates' proneness to shame and guilt: Feeling bad about the behavior or the self?","JP Tangney, J Stuewig, D Mashek…","JP Tangney, J Stuewig, D Mashek… - Criminal justice and …, 2011 - journals.sagepub.com","2011","impression management",NA,"https://journals.sagepub.com/doi/abs/10.1177/0093854811405762","assessingjailinmatespronenesstoshameandguiltfeelingbadaboutthebehaviorortheself"
"Google Scholar",NA,"The brief self-control scale predicts jail inmates' recidivism, substance dependence, and post-release adjustment","ET Malouf, KE Schaefer, EA Witt…","ET Malouf, KE Schaefer, EA Witt… - Personality and …, 2014 - journals.sagepub.com","2014","impression management",NA,"https://journals.sagepub.com/doi/abs/10.1177/0146167213511666","thebriefselfcontrolscalepredictsjailinmatesrecidivismsubstancedependenceandpostreleaseadjustment"
"Google Scholar",NA,"Friends don't let friends eat cookies: Effects of restrictive eating norms on consumption among friends","M Howland, JM Hunger, T Mann","M Howland, JM Hunger, T Mann - Appetite, 2012 - Elsevier","2012","impression management",NA,"https://www.sciencedirect.com/science/article/pii/S0195666312002255","friendsdontletfriendseatcookieseffectsofrestrictiveeatingnormsonconsumptionamongfriends"
"Google Scholar",NA,"Looking cool or attaining self-rule. Different motives for autonomy and their effects on unhealthy snack purchase","FM Stok, DTD De Ridder, MA Adriaanse, JBF De Wit","FM Stok, DTD De Ridder, MA Adriaanse, JBF De Wit - Appetite, 2010 - Elsevier","2010","impression management",NA,"https://www.sciencedirect.com/science/article/pii/S0195666310000747","lookingcoolorattainingselfruledifferentmotivesforautonomyandtheireffectsonunhealthysnackpurchase"
"Google Scholar",NA,"Divine struggles: Links with body image concerns, binging, and compensatory behaviours around eating","JJ Exline, SJ Homolka, VA Harriott","JJ Exline, SJ Homolka, VA Harriott - Mental Health, Religion & …, 2016 - Taylor & Francis","2016","impression management",NA,"https://www.tandfonline.com/doi/abs/10.1080/13674676.2015.1087977","divinestruggleslinkswithbodyimageconcernsbingingandcompensatorybehavioursaroundeating"
"Google Scholar",NA,"Reliability, validity, and predictive utility of the 25-item Criminogenic Cognitions Scale (CCS)","JP Tangney, J Stuewig, E Furukawa…","JP Tangney, J Stuewig, E Furukawa… - Criminal justice and …, 2012 - journals.sagepub.com","2012","impression management",NA,"https://journals.sagepub.com/doi/abs/10.1177/0093854812451092","reliabilityvalidityandpredictiveutilityoftheitemcriminogeniccognitionsscaleccs"
"Google Scholar",NA,"Asymmetry in self-other agreement on attachment style among romantic partners","L Uziel","L Uziel - Journal of Research in Personality, 2012 - Elsevier","2012","impression management",NA,"https://www.sciencedirect.com/science/article/pii/S0092656611001620","asymmetryinselfotheragreementonattachmentstyleamongromanticpartners"
"Google Scholar",NA,"Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self‐reports","MH Bornstein, DL Putnick, JE Lansford…","MH Bornstein, DL Putnick, JE Lansford… - International Journal …, 2015 - Wiley Online Library","2015","impression management",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12084","motherandfathersociallydesirablerespondinginninecountriestwokindsofagreementandrelationstoparentingselfreports"
"Google Scholar",NA,"Self-regulation in the interpersonal sphere","KD Vohs, JD Lasaleta, B Fennis","KD Vohs, JD Lasaleta, B Fennis - … of self-regulation, 2009 - sydneysymposium.unsw.edu.au","2009","impression management",NA,"http://www.sydneysymposium.unsw.edu.au/2008/Chapters/VohsSSSP08%20.pdf","selfregulationintheinterpersonalsphere"
"Google Scholar",NA,"People use self-control to risk personal harm: An intra-interpersonal dilemma","CD Rawn, KD Vohs","CD Rawn, KD Vohs - Personality and Social Psychology …, 2011 - journals.sagepub.com","2011","impression management",NA,"https://journals.sagepub.com/doi/abs/10.1177/1088868310381084","peopleuseselfcontroltoriskpersonalharmanintrainterpersonaldilemma"
"Google Scholar",NA,"The Importance of Self-Regulation for Interpersonal Functioning.","CD Rawn, KD Vohs","CD Rawn, KD Vohs - 2006 - psycnet.apa.org","2006","impression management",NA,"https://psycnet.apa.org/record/2006-04109-002","theimportanceofselfregulationforinterpersonalfunctioning"
"Google Scholar",NA,"Hope, self‐esteem, and self‐regulation: Positive characteristics among men and women in recovery","JR Ferrari, EB Stevens, R Legler…","JR Ferrari, EB Stevens, R Legler… - Journal of Community …, 2012 - Wiley Online Library","2012","impression management",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/jcop.20509","hopeselfesteemandselfregulationpositivecharacteristicsamongmenandwomeninrecovery"
"Google Scholar",NA,"Facebook fired: Legal perspectives and young adults' opinions on the use of social media in hiring and firing decisions","M Drouin, KW O'Connor, GB Schmidt…","M Drouin, KW O'Connor, GB Schmidt… - Computers in Human …, 2015 - Elsevier","2015","impression management",NA,"https://www.sciencedirect.com/science/article/pii/S0747563215000230","facebookfiredlegalperspectivesandyoungadultsopinionsontheuseofsocialmediainhiringandfiringdecisions"
