Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Grubbs J.B., Wilt J.A., Exline J.J., Pargament K.I.","54907163700;24777513200;6603930548;7004253169;","Predicting pornography use over time: Does self-reported “addiction” matter?",2018,"Addictive Behaviors","82",,,"57","64",,19,"10.1016/j.addbeh.2018.02.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042486853&doi=10.1016%2fj.addbeh.2018.02.028&partnerID=40&md5=7cc0822a375ec4856315f0e58cb8620e","Elsevier Ltd","29494859",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85042486853
"Konopaske R., Kirby E.G., Kirby S.L.","6508369189;35514973600;7102236834;","Positive disposition in the prediction of strategic independence among millennials",2017,"Administrative Sciences","7","4","38","","",,,"10.3390/admsci7040038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118824444&doi=10.3390%2fadmsci7040038&partnerID=40&md5=2a9a296b346d72f5daa916b1aa5002b4","MDPI",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118824444
"Bruehlman-Senecal E., Ayduk O., John O.P.","34969042200;6601979836;7003313240;","Taking the long view: Implications of individual differences in temporal distancing for affect, stress reactivity, and well-being",2016,"Journal of Personality and Social Psychology","111","4",,"610","635",,25,"10.1037/pspp0000103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977659511&doi=10.1037%2fpspp0000103&partnerID=40&md5=40b430b793aaa11657eae0f454676b8b","American Psychological Association Inc.","27399251",Article,"Final","",Scopus,2-s2.0-84977659511
"Graham S.M., Negash S., Lambert N.M., Fincham F.D.","55684486100;35174869900;14420115200;7006653075;","Problem drinking and extradyadic sex in young adult romantic relationships",2016,"Journal of Social and Clinical Psychology","35","2",,"152","170",,5,"10.1521/jscp.2016.35.2.152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957810995&doi=10.1521%2fjscp.2016.35.2.152&partnerID=40&md5=6359a11827ac73bfaa86b3f496d57be3","Guilford Publications",,Article,"Final","",Scopus,2-s2.0-84957810995
"Exline J.J., Homolka S.J., Harriott V.A.","6603930548;55917339800;56922355900;","Links with body image concerns, binging, and compensatory behaviours around eating",2016,"Mental Health, Religion and Culture","19","1",,"8","22",,13,"10.1080/13674676.2015.1087977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961206788&doi=10.1080%2f13674676.2015.1087977&partnerID=40&md5=23d4982479d888c3c4383c5cd6084715","Routledge",,Article,"Final","",Scopus,2-s2.0-84961206788
"Lee Z.W.Y., Cheung C.M.K., Chan T.K.H.","55071753900;9434254900;56202307300;","Technology-mediated self-regulation: An implication for preventing online gaming addiction",2016,"2016 International Conference on Information Systems, ICIS 2016",,,,"","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019491874&partnerID=40&md5=e314603dd59f37ab179aa0767705bb30","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85019491874
"Bornstein M.H., Putnick D.L., Lansford J.E., Pastorelli C., Skinner A.T., Sorbring E., Tapanya S., Uribe Tirado L.M., Zelli A., Alampay L.P., Al-Hassan S.M., Bacchini D., Bombi A.S., Chang L., Deater-Deckard K., Di Giunta L., Dodge K.A., Malone P.S., Oburu P.","7102912887;14049045800;7003639329;6701500087;35976702900;6506914026;14064077200;44861987200;6602098039;35731029700;36496358200;9247670600;7801311534;36180762700;7004361275;25627159200;7006549582;7102423479;8437043600;","Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self-reports",2015,"International Journal of Psychology","50","3",,"174","185",,64,"10.1002/ijop.12084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928749061&doi=10.1002%2fijop.12084&partnerID=40&md5=23f7cd66566609adffd984eb14e077be","Wiley-Blackwell Publishing Ltd","25043708",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928749061
"Zwanenburg S.P.","56104104900;","How to tie a construct to indicators: Guidelines for valid measurement",2015,"2015 International Conference on Information Systems: Exploring the Information Frontier, ICIS 2015",,,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107083761&partnerID=40&md5=9a0565abfb22d26f4d6d60f7e40c88d6","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85107083761
"Chan T.K.H., Cheung C.M.K., Lee Z.W.Y., Neben T.","56202307300;9434254900;55071753900;56023350500;","Transition from urge to excessive use of social networking sites: The moderating role of self-control and accessibility",2015,"Pacific Asia Conference on Information Systems, PACIS 2015 - Proceedings",,,,"","",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011019657&partnerID=40&md5=2646c858f256e5948a7f6bf242daa2b8","Pacific Asia Conference on Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85011019657
"Grubbs J.B., Exline J.J., Pargament K.I., Hook J.N., Carlisle R.D.","54907163700;6603930548;7004253169;16052590700;37008977200;","Transgression as Addiction: Religiosity and Moral Disapproval as Predictors of Perceived Addiction to Pornography",2015,"Archives of Sexual Behavior","44","1",,"125","136",,134,"10.1007/s10508-013-0257-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928767876&doi=10.1007%2fs10508-013-0257-z&partnerID=40&md5=1922c556394267defb5b1c46f93dd199","Springer Science and Business Media, LLC","24519108",Article,"Final","",Scopus,2-s2.0-84928767876
"McKee H.C., Ntoumanis N.","55649975100;6604054863;","Multiple-goal management: An examination of simultaneous pursuit of a weight-loss goal with another goal",2014,"Journal of Health Psychology","19","9",,"1163","1173",,8,"10.1177/1359105313485484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906775171&doi=10.1177%2f1359105313485484&partnerID=40&md5=43e3d46294c5d4206f0733527b3270df","SAGE Publications Ltd","23682068",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84906775171
"DeWall C.N., Pond Jr. R.S., Carter E.C., McCullough M.E., Lambert N.M., Fincham F.D., Nezlek J.B.","6507380747;36464269500;54787468100;7101948673;14420115200;7006653075;7004481879;","Explaining the relationship between religiousness and substance use: Self-control matters",2014,"Journal of Personality and Social Psychology","107","2",,"339","351",,44,"10.1037/a0036853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905502415&doi=10.1037%2fa0036853&partnerID=40&md5=fb9380855f0e10920befac6b38059858","American Psychological Association Inc.","25090132",Article,"Final","",Scopus,2-s2.0-84905502415
"Özdemir Y., Kuzucu Y., Ak Ş.","55368655900;55499730300;55625728500;","Depression, loneliness and Internet addiction: How important is low self-control?",2014,"Computers in Human Behavior","34",,,"284","290",,137,"10.1016/j.chb.2014.02.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896534466&doi=10.1016%2fj.chb.2014.02.009&partnerID=40&md5=ef199c071acede086500704db9d0c5e2","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-84896534466
"Rigoni D., Kühn S., Gaudino G., Sartori G., Brass M.","35316407500;57203215366;55208810400;7007044463;56231632100;","Reducing self-control by weakening belief in free will",2012,"Consciousness and Cognition","21","3",,"1482","1490",,71,"10.1016/j.concog.2012.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865355818&doi=10.1016%2fj.concog.2012.04.004&partnerID=40&md5=bef0d6a5d73226b5c429f4f9638c1c94",,"22579497",Article,"Final","",Scopus,2-s2.0-84865355818
"Rigoni D., Kühn S., Sartori G., Brass M.","35316407500;57203215366;7007044463;56231632100;","Inducing disbelief in free will alters brain correlates of preconscious motor preparation: The brain minds whether we believe in free will or not",2011,"Psychological Science","22","5",,"613","618",,91,"10.1177/0956797611405680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955748582&doi=10.1177%2f0956797611405680&partnerID=40&md5=d2afedc778f5d67553c598aa998996ed",,"21515737",Article,"Final","",Scopus,2-s2.0-79955748582
"Uziel L.","16305445700;","Rethinking social desirability scales: From impression management to interpersonally oriented self-control",2010,"Perspectives on Psychological Science","5","3",,"243","262",,193,"10.1177/1745691610369465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649309447&doi=10.1177%2f1745691610369465&partnerID=40&md5=dd5d9beebf4eb20c0c1e8af7dd1361c4",,,Review,"Final","All Open Access, Green",Scopus,2-s2.0-78649309447
"Li A., Bagger J.","36985142700;23487873900;","The Balanced Inventory of Desirable Responding (BIDR): A reliability generalization study",2007,"Educational and Psychological Measurement","67","3",,"525","544",,60,"10.1177/0013164406292087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248188163&doi=10.1177%2f0013164406292087&partnerID=40&md5=e428c8b85f847aba7926ee3081e9119b","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-34248188163
