Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Robinson M.D., Persich M.R., Irvin R.L.","7404467028;57188752768;57218248455;","An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being",2022,"Journal of Research in Personality","97",,"104207","","",,,"10.1016/j.jrp.2022.104207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124898277&doi=10.1016%2fj.jrp.2022.104207&partnerID=40&md5=816c128304cc05885bba17bdf8403f28","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85124898277
"Gilchrist G., Potts L., Radcliffe P., Halliwell G., Dheensa S., Henderson J., Johnson A., Love B., Gilchrist E., Feder G., Parrott S., Li J., McMurran M., Kirkpatrick S., Stephens-Lewis D., Easton C., Berbary C., Landau S.","56249879600;26323388900;24333094800;57201405944;36727032800;57205119601;57211453052;56419516400;6701715170;57210811872;8342965100;56580778500;7004525514;57216845133;57211453054;7004478567;57203136528;7101776972;","ADVANCE integrated group intervention to address both substance use and intimate partner abuse perpetration by men in substance use treatment: a feasibility randomised controlled trial",2021,"BMC Public Health","21","1","980","","",,1,"10.1186/s12889-021-11012-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106892381&doi=10.1186%2fs12889-021-11012-3&partnerID=40&md5=ad9fceb050df9e98091d45fb9cb0eaa3","BioMed Central Ltd","34034690",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106892381
"Littlefield A.K., Lane S.P., Gette J.A., Watts A.L., Sher K.J.","26435400700;54884045700;57216879650;36987777600;7005939202;","The “Big Everything”: Integrating and investigating dimensional models of psychopathology, personality, personality pathology, and cognitive functioning.",2021,"Personality Disorders: Theory, Research, and Treatment","12","2",,"103","114",,4,"10.1037/per0000457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090587734&doi=10.1037%2fper0000457&partnerID=40&md5=3f3e18286b3099c0cebc090857919ae0","American Psychological Association","32915005",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85090587734
"van Hooft E.A.J., Kreemers L.M.","6506939038;56007254900;","Stop and start control at work: Differential validity of two types of self-control for work behavior and emotion regulation",2021,"International Journal of Selection and Assessment",,,,"","",,,"10.1111/ijsa.12359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120437404&doi=10.1111%2fijsa.12359&partnerID=40&md5=6e0cf3bb292fa2b4fca36e88011a127e","John Wiley and Sons Inc",,Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85120437404
"Heinze P.E., Fatfouta R., Schröder-Abé M.","57215832459;55671002800;15045576500;","Validation of an implicit measure of antagonistic narcissism",2020,"Journal of Research in Personality","88",,"103993","","",,2,"10.1016/j.jrp.2020.103993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088260262&doi=10.1016%2fj.jrp.2020.103993&partnerID=40&md5=5cb1cd7ceb4110bbbec881a289c71bdf","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85088260262
"Baumgartl H., Sauter D., Roessler P., Buettner R.","57204587967;57204584246;57218405803;24831738000;","Measuring social desirability using a novel machine learning approach based on EEG data",2020,"Proceedings of the 24th Pacific Asia Conference on Information Systems: Information Systems (IS) for the Future, PACIS 2020",,,,"","",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129405&partnerID=40&md5=d9ab4680279b548eaef162f0eee5d7ee","Association for Information Systems",,Conference Paper,"Final","",Scopus,2-s2.0-85089129405
"Ponchio M.C., Cordeiro R.A., Gonçalves V.N.","57016707800;57191267851;57207347514;","Personal factors as antecedents of perceived financial well-being: evidence from Brazil",2019,"International Journal of Bank Marketing","37","4",,"1004","1024",,24,"10.1108/IJBM-03-2018-0077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062451928&doi=10.1108%2fIJBM-03-2018-0077&partnerID=40&md5=b89ae2091933c1a22e540b0f09f6467e","Emerald Group Holdings Ltd.",,Article,"Final","",Scopus,2-s2.0-85062451928
"Weathers D., Siemens J.C.","8886653200;7004031720;","Measures of state self-control and its causes for trackable activities",2018,"Journal of Business Research","93",,,"1","11",,,"10.1016/j.jbusres.2018.08.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052449519&doi=10.1016%2fj.jbusres.2018.08.028&partnerID=40&md5=8315658589115c8d42b8e56e22f3bd12","Elsevier Inc.",,Article,"Final","",Scopus,2-s2.0-85052449519
"Zolotareva A.A.","57200380109;","The self-possession scale: Psychometric features and perspectives of application",2018,"Psikhologicheskii Zhurnal","39","1",,"103","114",,,"10.7868/S0205959218010105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046620141&doi=10.7868%2fS0205959218010105&partnerID=40&md5=026ddd3dec0b19404be8d25a9a73bd98","Russian Academy of Sciences",,Article,"Final","",Scopus,2-s2.0-85046620141
"Visserman M.L., Righetti F., Kumashiro M., Van Lange P.A.M.","56196533000;36951712900;7007155919;7004460194;","Me or Us? Self-Control Promotes a Healthy Balance Between Personal and Relationship Concerns",2017,"Social Psychological and Personality Science","8","1",,"55","65",,14,"10.1177/1948550616662121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008263845&doi=10.1177%2f1948550616662121&partnerID=40&md5=7c77b2f18bbc316c4dcc3085bfeffa2a","SAGE Publications Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85008263845
