Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Lanz L., Thielmann I., Gerpott F.H.","57226721717;56107426200;56901406600;","Are social desirability scales desirable? A meta-analytic test of the validity of social desirability scales in the context of prosocial behavior",2022,"Journal of Personality","90","2",,"203","221",,1,"10.1111/jopy.12662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112478471&doi=10.1111%2fjopy.12662&partnerID=40&md5=fb2702b37af18d33cc18f1f8a8f7bf72","John Wiley and Sons Inc","34265863",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112478471
"Cao X., Luo Z., Qiu J., Liu Y.","57219310357;57226289326;57226275234;56921170200;","Does ostracism impede Chinese tourist self-disclosure on WeChat? The perspective of social anxiety and self-construal",2022,"Journal of Hospitality and Tourism Management","50",,,"178","187",,,"10.1016/j.jhtm.2022.02.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124394984&doi=10.1016%2fj.jhtm.2022.02.013&partnerID=40&md5=fc7eb0a52e5b962aa7d992c5eb3af0f7","Elsevier Ltd",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85124394984
"Huxhold O., Fiori K.L., Windsor T.","12786940600;11139068400;6507868723;","Rethinking Social Relationships in Adulthood: The Differential Investment of Resources Model",2022,"Personality and Social Psychology Review","26","1",,"57","82",,,"10.1177/10888683211067035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122740180&doi=10.1177%2f10888683211067035&partnerID=40&md5=07eddcc8932b371952dd2332968957dc","SAGE Publications Inc.","35001730",Article,"Final","",Scopus,2-s2.0-85122740180
"Jeon H.G., Jeong E.J., Lee S.J., Kim J.A.","57215928050;23667431600;57209319016;57210187088;","Exploring the Mechanism of Pathological Gaming in Adolescents: Focused on the Mediation Paths and Latent Group Comparison",2022,"Frontiers in Psychology","12",,"756328","","",,,"10.3389/fpsyg.2021.756328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123434898&doi=10.3389%2ffpsyg.2021.756328&partnerID=40&md5=8e587b649c9868d76c25fd84e8435857","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123434898
"Wu H., Zhou L., Ali F., Chen J.-H., Niu M., Hu J.","57469190600;55760427800;56313904900;57469320400;57469320500;57469320600;","The impacts of electronic versus waiter ordering on consumer's healthy food choice",2022,"Psychology and Marketing",,,,"","",,,"10.1002/mar.21653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125371677&doi=10.1002%2fmar.21653&partnerID=40&md5=407df4111425c1f724daa5cf2f501311","John Wiley and Sons Inc",,Article,"Article in Press","",Scopus,2-s2.0-85125371677
"Fitriastuti T., Vanderstraeten A.","57225897619;55050801700;","Being Out of the Loop: Workplace Deviance as a Mediator of the Impact of Impression Management on Workplace Exclusion",2022,"Sustainability (Switzerland)","14","2","1004","","",,,"10.3390/su14021004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122965172&doi=10.3390%2fsu14021004&partnerID=40&md5=a80e6786963fb0df508116e1eb0e818e","MDPI",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122965172
"Wang F., Basso F.","57207995666;35422075000;","The peak of health: The vertical representation of healthy food",2021,"Appetite","167",,"105587","","",,,"10.1016/j.appet.2021.105587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109930258&doi=10.1016%2fj.appet.2021.105587&partnerID=40&md5=2a23b2d73357694349f9805769c6a7ce","Academic Press","34229026",Article,"Final","",Scopus,2-s2.0-85109930258
"Sekścińska K., Rudzinska-Wojciechowska J., Jaworska D.","57000422100;57194338192;57220860087;","Self-control and investment choices",2021,"Journal of Behavioral Decision Making","34","5",,"691","705",,2,"10.1002/bdm.2236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100987125&doi=10.1002%2fbdm.2236&partnerID=40&md5=2bc338f3d0ca067d615da485a2f6d2aa","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-85100987125
"Patel P.C., Wolfe M.T.","9632546200;54879990400;","In the eye of the beholder? The returns to beauty and IQ for the self-employed",2021,"Strategic Entrepreneurship Journal","15","4",,"487","525",,5,"10.1002/sej.1323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068084849&doi=10.1002%2fsej.1323&partnerID=40&md5=43441d69b3ef20045994850ad96a1bb7","John Wiley and Sons Inc",,Article,"Final","",Scopus,2-s2.0-85068084849
"Enden G.V.D., Geyskens K.","57326204800;25641385900;","Attract the best: The attraction effect as an effective strategy to enhance healthy choices",2021,"PLoS ONE","16","11 November","e0259521","","",,,"10.1371/journal.pone.0259521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118623774&doi=10.1371%2fjournal.pone.0259521&partnerID=40&md5=7c981a715833c813f054a1d8b21efdcf","Public Library of Science","34735536",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118623774
"Holler S., Cramer H., Liebscher D., Jeitler M., Schumann D., Murthy V., Michalsen A., Kessler C.S.","57188819899;50161242500;57212759052;55440718300;57191973299;55651970600;6701560387;24923057200;","Differences Between Omnivores and Vegetarians in Personality Profiles, Values, and Empathy: A Systematic Review",2021,"Frontiers in Psychology","12",,"579700","","",,,"10.3389/fpsyg.2021.579700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117721835&doi=10.3389%2ffpsyg.2021.579700&partnerID=40&md5=7511c8c51f22971f3485bff36469fb75","Frontiers Media S.A.",,Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117721835
"Lee M., Bong M., Kim S.-I.","55944728000;7003524012;36767876600;","Effects of achievement goals on self-control",2021,"Contemporary Educational Psychology","67",,"102000","","",,,"10.1016/j.cedpsych.2021.102000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114048612&doi=10.1016%2fj.cedpsych.2021.102000&partnerID=40&md5=be16936b6e786653e30bd218fe4fcb9e","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85114048612
"Kapitan S., Mittal S., Sundie J.M., Beal D.J.","55347827500;57193827710;6508204573;21533518800;","What a great deal…I need that! Updating need drives frugal consumers’ responses to deep discounts",2021,"Journal of Business Research","134",,,"467","479",,1,"10.1016/j.jbusres.2021.05.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107674877&doi=10.1016%2fj.jbusres.2021.05.053&partnerID=40&md5=7ada1d33eb429828106fc728ab09e98e","Elsevier Inc.",,Article,"Final","",Scopus,2-s2.0-85107674877
"Bryksina O., Wang L., Mai-McManus T.","57217736494;57219717234;57219716456;","How Body Size Cues Judgments on Person Perception Dimensions",2021,"Social Psychological and Personality Science","12","6",,"1092","1102",,2,"10.1177/1948550620963675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094906126&doi=10.1177%2f1948550620963675&partnerID=40&md5=a15e48295ce23c4cf4ddcba82bbd2493","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-85094906126
