Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A brief behavioral measure of frustration tolerance predicts academic achievement immediately and two years later.","Meindl, Peter; Yu, Alisa; Galla, Brian M.; Quirk, Abigail; Haeck, Carly; Goyer, J. Parker; Lejuez, Carl W.; D'Mello, Sidney K.; Duckworth, Angela L.","Emotion",="15283542",,="20190901","19","6","1081","12","2018-59119-001","10.1037/emo0000492","American Psychological Association","Journal Article","Academic Achievement Prediction; Frustration; Self-Control; Test Construction; Tolerance; Emotions; Goals; Mind; Test Validity; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Achieving important goals is widely assumed to require confronting obstacles, failing repeatedly, and persisting in the face of frustration. Yet empirical evidence linking achievement and frustration tolerance is lacking. To facilitate work on this important topic, we developed and validated a novel behavioral measure of frustration tolerance: the Mirror Tracing Frustration Task (MTFT). In this 5-min task, participants allocate time between a difficult tracing task and entertaining games and videos. In two studies of young adults (Study 1: N = 148, Study 2: N = 283), we demonstrated that the MTFT increased frustration more than 18 other emotions, and that MTFT scores were related to self-reported frustration tolerance. Next, we assessed whether frustration tolerance correlated with similar constructs, including self-control and grit, as well as objective measures of real-world achievement. In a prospective longitudinal study of high-school seniors (N = 391), MTFT scores predicted grade-point average and standardized achievement test scores, and—more than 2 years after completing the MTFT—progress toward a college degree. Though small in size (i.e., rs ranging from .10 to .24), frustration tolerance predicted outcomes over and above a rich set of covariates, including IQ, sociodemographics, self-control, and grit. These findings demonstrate the validity of the MTFT and highlight the importance of frustration tolerance for achieving valued goals. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-59119-001&site=ehost-live&scope=site"
"A preregistered test of competing theories to explain ego depletion effects using psychophysiological indicators of mental effort.","Gieseler, Karolin; Loschelder, David D.; Job, Veronika; Friese, Malte","Motivation Science",="23338113",,="20210301","7","1","32","14","2020-53110-001","10.1037/mot0000183","Educational Publishing Foundation","Journal Article","Ego; Psychophysiology; Self-Concept; Self-Control; Systolic Pressure; Energy Expenditure; Prediction; Theories; Adulthood (18 yrs & older); Male; Female",,"A prominent, hotly debated idea—the 'ego depletion' phenomenon—suggests that engaging in effortful, demanding tasks leads to poorer subsequent self-control performance. Several theories seek to explain the emergence of ego depletion effects. The two most prominent ones are the strength model of self-control (Baumeister & Vohs, 2016) and the process model of self-control (Inzlicht & Schmeichel, 2012). Predictions of these models are predominantly identical on the behavioral level. The models’ predictions differ, however, on the level of invested mental effort. The present pre-registered study (N = 179) contrasted these competing predictions combining an established moderator counteracting ego depletion effects (i.e., self-affirmation) and psychophysiological indicators of mental effort (i.e., systolic blood pressure and preejection period). Our data provide moderate evidence for ego depletion—decrements in self-control performance after a high- versus low-demanding task in the nonaffirmed conditions. Self-affirmation had an unexpected effect: Contrary to previous research, self-affirmed participants performed similarly poorly as participants in the high demand + nonaffirmed condition. Although this unexpected finding limited the ability to contrast competing model predictions, it points to hitherto unknown effects of self-affirmation on self-control performance. Systolic blood pressure reactivity emerged as a valid indicator of invested mental effort, but the data show no sign of disengagement after a high-demanding task predicted by the process (but not the strength) model. We explore systolic blood pressure progression across the sequential task paradigm, suggest a testable account for the effects of self-affirmation on self-control performance, and discuss theoretical implications of the results for the two competing models. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-53110-001&site=ehost-live&scope=site"
"Assessing decision making in young adult romantic relationships.","Vennum, Amber; Fincham, Frank D.","Psychological Assessment",="10403590",,="20110901","23","3","739","13","2011-08232-001","10.1037/a0023287","American Psychological Association","Journal Article","Decision Making; Romance; Interpersonal Relationships; Adulthood (18 yrs & older); Male; Female",,"Romantic relationships among young adults are rich with ambiguity and without a clear, universal progression emphasizing the need for active decision making. Lack of active decision making in romantic relationships can lead to increases in constraints (e.g. pregnancy, shared living space or finances) that promote the continuation of relationships that would have otherwise ended, leading to increased risk of relationship distress. Because there is no available assessment of thoughtfulness regarding relationship decisions, the authors of the present studies report data on the development of one such scale, the Relationship Deciding Scale (RDS). Study 1 (N = 995) reveals the factor structure of the RDS and provides reliability data for the emergent subscales. In Study 2 (N = 963), the obtained three-factor structure (Relationship Confidence, Knowledge of Warning Signs, and Deciding) is tested via confirmatory factor analysis, demonstrates convergent and discriminant validity, and is shown to predict relationship characteristics 14 weeks later. Study 3 (N = 805) shows the sensitivity of the three factors to change through examination of the influence of a semester-long intervention targeted at increasing decision making in relationships. Use of this scale for identifying and intervening with couples or individuals who lack active decision making in relationships may decrease their risk for future relationship distress. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2011-08232-001&site=ehost-live&scope=site"
"Attentional and evaluative biases help people maintain relationships by avoiding infidelity.","McNulty, James K.; Meltzer, Andrea L.; Makhanova, Anastasia; Maner, Jon K.","Journal of Personality and Social Psychology",="00223514",,="20180701","115","1","76","20","2018-05467-001","10.1037/pspi0000127","American Psychological Association","Journal Article","Commitment; Infidelity; Marital Satisfaction; Marriage; Attentional Bias; Marital Status; Test Construction; Adulthood (18 yrs & older); Male; Female",,"Two longitudinal studies of 233 newlywed couples suggest that automatic attentional and evaluative biases regarding attractive relationship alternatives can help people maintain relationships by avoiding infidelity. Both studies assessed participants’ tendency to automatically disengage attention from photos of attractive, opposite sex individuals; one study assessed participants’ tendency to devalue those individuals by comparing their attractiveness evaluations to evaluations made by single people, and both studies assessed infidelity and relationship status multiple times for approximately three years. Several sources of devaluation emerged, but only participants’ history of short-term sex predicted both biases; having more short-term sexual partners was associated with being slower to disengage attention from attractive alternatives, and, among men, evaluating such individuals more positively. In turn, both processes exerted indirect effects on relationship dissolution by predicting infidelity; being 100 ms faster to disengage attention from attractive alternatives or rating them 2 scale points lower in attractiveness was associated with a decrease in the odds of infidelity of approximately 50%; the effect of devaluation on infidelity was stronger among participants who evidenced steeper declines in marital satisfaction. These associations emerged because unfaithful individuals took longer to disengage attention from attractive alternatives compared with other social targets and did not differ from singles in their evaluations of those alternatives. Among several other predictors of infidelity, partner attractiveness was associated with a decrease in the odds of infidelity among men but not women. These findings suggest a role for basic psychological processes in predicting infidelity, highlight the critical role of automatic processes in relationship functioning, and suggest novel ways to promote relationship success. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-05467-001&site=ehost-live&scope=site"
"Blame it on the supervisor or the subordinate? Reciprocal relations between abusive supervision and organizational deviance.","Lian, Huiwen; Ferris, D. Lance; Morrison, Rachel; Brown, Douglas J.","Journal of Applied Psychology",="00219010",,="20140701","99","4","651","14","2013-45144-001","10.1037/a0035498","American Psychological Association","Journal Article","Abuse of Power; Management Personnel; Organizations; Reciprocity; Interpersonal Relationships; Self-Control; Adulthood (18 yrs & older); Male; Female",,"Drawing on various theoretical perspectives, extant research has primarily treated subordinate organizational deviance as a consequence of abusive supervision. Yet, social interaction theories of aggression and victimization perspectives provide support for the opposite ordering, suggesting that subordinate organizational deviance may be an antecedent of abusive supervision. By using a cross-lagged panel design, we empirically test the potentially reciprocal relation between abusive supervision and subordinate organizational deviance. In Study 1, we measured both abusive supervision and organizational deviance at 2 separate times with a 20-month lag between measurement occasions and found evidence that subordinate organizational deviance leads to abusive supervision, but not vice versa. In Study 2, with a shorter time lag (i.e., 6 months), the reciprocal effects of abusive supervision and organizational deviance were supported. Furthermore, we found that the effects of abusive supervision on organizational deviance were moderated by subordinate self-control capacity and intention to quit such that the effects were only significant when subordinates had low self-control capacity and high intention to quit. Theoretical and practical implications are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2013-45144-001&site=ehost-live&scope=site"
"Boxed in by your inbox: Implications of daily e-mail demands for managers’ leadership behaviors.","Rosen, Christopher C.; Simon, Lauren S.; Gajendran, Ravi S.; Johnson, Russell E.; Lee, Hun Whee; Lin, Szu-Han (Joanna)","Journal of Applied Psychology",="00219010",="9781433892363",="20190101","104","1","19","15","2018-45823-001","10.1037/apl0000343","American Psychological Association","Journal Article","Leadership; Management Personnel; Self-Regulation; Computer Mediated Communication; Communication; Emotions; Goals; Self-Control; Test Construction; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Over the past 30 years, the nature of communication at work has changed. Leaders in particular rely increasingly on e-mail to communicate with their superiors and subordinates. However, researchers and practitioners alike suggest that people frequently report feeling overloaded by the e-mail demands they experience at work. In the current study, we develop a self-regulatory framework that articulates how leaders’ day-to-day e-mail demands relate to a perceived lack of goal progress, which has a negative impact on their subsequent enactment of routine (i.e., initiating structure) and exemplary (i.e., transformational) leadership behaviors. We further theorize how two cross-level moderators—centrality of e-mail to one’s job and trait self-control—impact these relations. In an experience sampling study of 48 managers across 10 consecutive workdays, our results illustrate that e-mail demands are associated with a lack of perceived goal progress, to which leaders respond by reducing their initiating structure and transformational behaviors. The relation of e-mail demands with leader goal progress was strongest when e-mail was perceived as less central to performing one’s job, and the relations of low goal progress with leadership behaviors were strongest for leaders low in trait self-control. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-45823-001&site=ehost-live&scope=site"
"Clarifying the link between job satisfaction and absenteeism: The role of guilt proneness.","Schaumberg, Rebecca L.; Flynn, Francis J.","Journal of Applied Psychology",="00219010",,="20170601","102","6","982","11","2017-10518-001","10.1037/apl0000208","American Psychological Association","Journal Article","Employee Absenteeism; Guilt; Job Satisfaction; Self-Concept; Agreeableness; Morality; Adulthood (18 yrs & older); Male; Female",,"We propose that the relationship between job satisfaction and absenteeism depends partly on guilt proneness. Drawing on withdrawal and process models of absenteeism, we argue that job satisfaction predicts absences for employees who are low (but not high) in guilt proneness because low guilt-prone people’s behaviors are governed more by fulfilling their own egoistic desires than by fulfilling others’ normative expectations. We find support for this prediction in a sample of customer service agents working for a major telecommunications company and a sample of working adults employed in a range of industries. In each study, we use measures of employees’ guilt proneness and job satisfaction to predict their subsequent workplace absences. In Study 2, we extend our hypothesis tests to 2 traits that are conceptually comparable to guilt proneness (i.e., moral identity and agreeableness), showing that these traits similarly moderate the relationship between job satisfaction and absenteeism. We discuss the implications of these findings for extant models of absenteeism and research on moral affectivity in the workplace. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2017-10518-001&site=ehost-live&scope=site"
"Convergence of direct, indirect, and objective risk-taking measures in gambling: The moderating role of impulsiveness and self-control.","Dislich, Friederike X. R.; Zinkernagel, Axel; Ortner, Tuulia M.; Schmitt, Manfred","Zeitschrift für Psychologie/Journal of Psychology",="00443409",,="20100101","218","1","20","8","2010-07223-004","10.1027/0044-3409/a000004","Hogrefe Publishing","Journal Article","Gambling; Impulsiveness; Personality Measures; Self-Control; Risk Assessment; Predictability (Measurement); Predictive Validity; Risk Taking; Test Validity; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Based on dual-process models, we assumed that risk taking depends on implicit and explicit risk attitudes and risk propensity. Specifically, we predicted that the convergence between these indicators would depend on the impulsiveness versus reflectiveness of risk behavior. Two objective personality tests (OPTs) of risk taking that measure risk behavior in standardized situations were employed. We predicted that the impulsive OPT would depend more on implicit risk dispositions. The reverse effect pattern was expected for the reflective OPT. Next, we expected that self-control would amplify the weight of explicit dispositions and attenuate that of implicit dispositions. At Time 1, two direct questionnaire measures of explicit risk proneness, three indirect measures of implicit risk proneness, and a self-control measure were administered. At Time 2, participants participated in a reflective and an impulsive gambling OPT. The assumed pattern of effects was obtained. We conclude with a discussion of future research avenues. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2010-07223-004&site=ehost-live&scope=site"
"Cross-cultural variations in Big Five relationships with religiosity: A sociocultural motives perspective.","Gebauer, Jochen E.; Bleidorn, Wiebke; Gosling, Samuel D.; Rentfrow, Peter J.; Lamb, Michael E.; Potter, Jeff","Journal of Personality and Social Psychology",="00223514",,="20141201","107","6","1064","28","2014-35855-001","10.1037/a0037683","American Psychological Association","Journal Article","Cross Cultural Differences; Five Factor Personality Model; Motivation; Religiosity; Sociocultural Factors; Personality Traits; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"A sociocultural motives perspective (SMP) on Big Five relationships is introduced. According to the SMP, Agreeableness and Conscientiousness elicit assimilation to sociocultural norms, Openness elicits contrast from these norms, and Extraversion and Neuroticism are independent of sociocultural assimilation and contrast. Due to sociocultural assimilation, then, relationships of Agreeableness and Conscientiousness with an outcome wax (become more positive or less negative) with that outcome’s increasing sociocultural normativeness. Due to sociocultural contrast, relationships of Openness with an outcome wane (become less positive or more negative) with that outcome’s increasing sociocultural normativeness. We tested the SMP using religiosity as our outcome. Study 1 included 4 cross-sectional self-report data sets across 66 countries (N = 1,129,334), 50 U.S. states (N = 1,057,342), 15 German federal states (N = 20,885), and 121 British urban areas (N = 386,315). Study 2 utilized informant-report data across 37 countries (N = 544,512). Study 3 used longitudinal data across 15 German federal states (N = 14,858). Results consistently supported the SMP. Relationships of Agreeableness and Conscientiousness with religiosity were more positive in religious sociocultural contexts than in secular contexts. Relationships of Openness with religiosity were more negative in religious sociocultural contexts than in secular contexts. At a more general level, the SMP offers theory-driven explanations for cross-cultural variations in Big Five relationships with their outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-35855-001&site=ehost-live&scope=site"
"Development of the Motivation to Participate in Psychological Research Scale.","Freng, Scott","Journal of Individual Differences",="16140001",,="20200101","41","3","160","15","2020-05752-001","10.1027/1614-0001/a000317","Hogrefe Publishing","Journal Article","Experimentation; Motivation; Self-Determination; Test Construction; Test Validity; College Students; Confirmatory Factor Analysis; Experimental Subjects; Factor Structure; Participation; Theories; Autonomy; Adulthood (18 yrs & older); Male; Female",,"In a series of four studies, I developed and found evidence supporting the validity of a new measure, the Motivation to Participate in Psychological Research Scale (MPPRS). Based upon the tenets of Self-Determination Theory and aimed at measuring motivation in undergraduate students, the scale demonstrated a three-factor structure in exploratory and confirmatory factor analyses (Study 1: N = 238, Study 2: N = 264, Study 3: N = 297). Factors corresponded to autonomous motivation, controlled motivation, and amotivation. Preliminary evidence supported the validity of MPPRS scores, and subscales differentiated psychology majors from non-majors, as well as associated with the timing of research participation during the semester. Examining student motivation with the MPPRS has possible implications for data quality, as a moderator of research findings, and might be used to track changes in students’ interest regarding psychological research. However, future research is needed to assess the predictive validity of the MPPRS. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-05752-001&site=ehost-live&scope=site"
