position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,Professionalism: self-control matters,av3lXubOLNcJ,"PJ Hershberger, TW Zryd, MB Rodes, A Stolfi - Medical teacher, 2010 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.3109/01421590903199676,"PJ Hershberger, TW Zryd, MB Rodes, A Stolfi",2010,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
1,"Impression management (“lie”) scales are associated with interpersonally oriented self‐control, not other‐deception",LSkQIQQD-dIJ,"L Uziel - Journal of personality, 2014 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12045,L Uziel,2014,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
2,The Balanced inventory of desirable responding (BIDR) a reliability generalization study,FCI7OyakZS8J,"A Li, J Bagger - Educational and psychological measurement, 2007 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0013164406292087,"A Li, J Bagger",2007,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
3,Towards a Motivational Alternative to the Strength Model of Self-Control,fk6njVNbvycJ,D Lees - 2016 - search.proquest.com,https://search.proquest.com/openview/9986679b2e2c70d75d1ee23be1505076/1?pq-origsite=gscholar&cbl=2026366,D Lees,2016,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
4,Psychometric assessment of the short grit scale among Chinese adolescents,acVfVd4-L5wJ,"J Li, Y Zhao, F Kong, S Du, S Yang… - Journal of …, 2018 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0734282916674858,"J Li, Y Zhao, F Kong, S Du, S Yang…",2018,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
5,Grit and Self-Control as Predictors of First-Year Student Success,LiSpUstM-dUJ,SB Stewart PhD - 2015 - digitalcommons.usm.maine.edu,https://digitalcommons.usm.maine.edu/etd/166/,SB Stewart PhD,2015,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
6,Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.,iFa2rkfddMgJ,"H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de",http://www.prof-buettner.de/downloads/baumgartl2020e.pdf,"H Baumgartl, P Roessler, D Sauter, R Buettner",2020,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
7,Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self‐reports,hHKuvW37-PUJ,"MH Bornstein, DL Putnick, JE Lansford… - International Journal …, 2015 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12084,"MH Bornstein, DL Putnick, JE Lansford…",2015,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
8,Low trait self‐control predicts self‐handicapping,4gGh3-SqJV8J,"A Uysal, CR Knee - Journal of Personality, 2012 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6494.2011.00715.x,"A Uysal, CR Knee",2012,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
9,Problem drinking and extradyadic sex in young adult romantic relationships,AVLWgxPr9HIJ,"SM Graham, S Negash, NM Lambert… - Journal of Social and …, 2016 - Guilford Press",https://guilfordjournals.com/doi/abs/10.1521/jscp.2016.35.2.152,"SM Graham, S Negash, NM Lambert…",2016,https://scholar.google.com/scholar?q=%22marlowe-crowne%22&cites=6099775482241657013&hl=en&start=100&num=21&as_ylo=2004&as_yhi=2022&as_sdt=2005&as_vis=1&scipsc=1,1,marlowe-crowne
