"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Journal Article","Weiss A,Forstmann M,Burgmer P","","Moralizing mental states: The role of trait self-control and control perceptions","Cognition","2021","214","","104662","","2021","0010-0277","https://www.sciencedirect.com/science/article/pii/S0010027721000810;http://dx.doi.org/10.1016/j.cognition.2021.104662","10.1016/j.cognition.2021.104662","Which attributes of a person contribute to their tendency to moralize others' thoughts? Adopting an individual-difference approach to moral cognition, eight studies (N = 2,033) investigated how people's ability for self-control shapes their moral reactions to others' mental states. Specifically, Studies 1a-2b found positive predictive effects of trait self-control (TSC) on the moralization (e.g., blaming) of another person's fantasies about different immoral behaviors. While ruling out alternative explanations, they furthermore supported the mediating role of ascribing targets control over their mental states. Studies 3a-3b provided correlational evidence of the perceived ability to control one's own mental states as a mechanism in the relationship between TSC and ascriptions of control to others. Studies 4a-4b followed a causal-chain experimental approach: A manipulation of participants' self-perceived ability to control their emotions impacted their control ascriptions to others over their immoral mental states (Study 4a), and targets perceived as high (vs. low) in control over their immoral mental states elicited stronger moralizing reactions. Taken together, the present studies elucidate why people moralize others' purely mental states, even in the absence of overt behavior. More broadly, they advance our knowledge about the role of individual differences, particularly in self-control, in moral cognition.","Moral judgment, Moralization, Mental states, Trait self-control, Free will, Blame",""
"Journal Article","Bertrams A,Dickhäuser O","","High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis","Learning and Individual Differences","2009","19","1","135-138","","2009","1041-6080","https://www.sciencedirect.com/science/article/pii/S1041608008000575;http://dx.doi.org/10.1016/j.lindif.2008.06.005","10.1016/j.lindif.2008.06.005","In the present article, we examine the hypothesis that high-school students' motivation to engage in cognitive endeavors (i.e., their need for cognition; NFC) is positively related to their dispositional self-control capacity. Furthermore, we test the prediction that the relation between NFC and school achievement is mediated by self-control capacity. A questionnaire study with grade ten high-school students (N=604) revealed the expected relations between NFC, self-control capacity, and school achievement. Sobel tests showed that self-control capacity mediated the relation between NFC and school grades as well as grade retention.","Need for cognition, Self-control, Self-regulation, School achievement",""
"Journal Article","Heinze PE,Fatfouta R,Schröder-Abé M","","Validation of an implicit measure of antagonistic narcissism","Journal of Research in Personality","2020","88","","103993","","2020","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656620300817;http://dx.doi.org/10.1016/j.jrp.2020.103993","10.1016/j.jrp.2020.103993","Narcissism has traditionally been assessed using explicit measures, yet contemporary measures are limited in their ability to capture people’s automatic (i.e., implicit) self-evaluations. Here, we propose the antagonistic narcissism Implicit Association Test (AN-IAT). Three studies (N = 1082) using self-, informant-reports, and other implicit measures tested the psychometric properties of the AN-IAT. The AN-IAT showed high internal consistency and good temporal stability. The measure was positively associated with (antagonistic) narcissism, aggression, and lack of empathy, but unrelated to communal, pathological, and agentic narcissism as well as self-esteem. The AN-IAT predicted self- and informant-ratings of aggression and empathy beyond self-reports of antagonistic and agentic narcissism, and agreeableness. Together, the antagonistic narcissism IAT is a promising addition to the assessment of narcissism.","Narcissism, Antagonistic, Implicit self-concept of personality, IAT",""
"Journal Article","Galić Z,Ružojčić M","","Interaction between implicit aggression and dispositional self-control in explaining counterproductive work behaviors","Personality and Individual Differences","2017","104","","111-117","","2017","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886916308881;http://dx.doi.org/10.1016/j.paid.2016.07.046","10.1016/j.paid.2016.07.046","Implicit component of aggression as a personality trait seems to be important for understanding aggressive behavior in different life domains, including counterproductive work behaviors (CWBs). However, the expression of aggressive urges might depend on the level of self-control an individual possesses. In this paper we report the results of 2 studies that tested the interaction between implicit aggression, as measured with the Conditional Reasoning Test for Aggression (CRT-A), and dispositional self-control (DSC) in explaining counterproductive work behaviors (CWBs). In Study 1, 333 employees completed a study package consisting of the CRT-A, a DSC scale, and a CWB scale. In Study 2, an additional sample of employees (n=341) completed a research battery consisting of the CRT-A, another DSC scale, and another CWB instrument. Additionally, in Study 2 we collected ratings about the participants' DSC and CWBs from their coworkers. The moderation analyses confirmed that high DSC buffers the effect of implicit aggression on self-reported CWBs in both studies, irrespective of whether self-control was self- or other-reported. However, the moderation effect was nonsignificant when other-reports of CWBs were used as the criteria.","Implicit aggression, Dispositional self-control, Counterproductive work behaviors, The Conditional Reasoning Test for Aggression",""
"Journal Article","Moore MM,Brown PM","","The association of self-regulation, habit, and mindfulness with texting while driving","Accident Analysis & Prevention","2019","123","","20-28","","2019","0001-4575","https://www.sciencedirect.com/science/article/pii/S0001457518308431;http://dx.doi.org/10.1016/j.aap.2018.10.013","10.1016/j.aap.2018.10.013","The saturation of mobile phones throughout Australia has led to some individuals being unable to regulate their use within situations that are inappropriate or risky. One of the most prevalent risky mobile phone use behaviours is texting while driving. Attempts to explain texting while driving suggest cognitive variables and personality characteristics are key factors. This study explored relationships between trait self-regulation, habitual text messaging, trait mindfulness, and texting while driving. One hundred and seventy participants comprising Australian undergraduate psychology students and members of the public completed an online survey measuring trait self-regulation, habitual text messaging behaviour, trait mindfulness, and frequency of texting while driving. It was found that habitual texting behaviour mediated the relationship between trait self-regulation and frequency of texting while driving. Additionally, trait mindfulness moderated the relationship between habit and texting while driving, such that habitual texting was significantly, positively related to texting while driving, but only for individuals with low to moderate trait mindfulness. These results suggest personality constructs related to attention, awareness, and control of behaviour play a significant role in counteracting the association that habitual texting behaviour has with the frequency of texting while driving. As these traits are considered malleable, this association may be applicable in future development of intervention programs aimed at increasing control over mobile phone use and reducing the frequency with which people text while driving.","Driving, Habit, Mindfulness, Mobile phone, Self-regulation, Texting",""
"Journal Article","Seuntjens TG,Zeelenberg M,van de Ven N,Breugelmans SM","","Greedy bastards: Testing the relationship between wanting more and unethical behavior","Personality and Individual Differences","2019","138","","147-156","","2019","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886918305130;http://dx.doi.org/10.1016/j.paid.2018.09.027","10.1016/j.paid.2018.09.027","Greed is often seen as immoral. Although the assumption that greed elicits unethical behavior is widespread, there is surprisingly little empirical research testing this relationship. We present a series of three studies investigating the association between greed and unethical behavior, using different methodologies and samples from the USA, The Netherlands, and Belgium. Study 1 (3 samples, total N = 3413) reveals that more greedy individuals find a variety of transgressions more acceptable and justifiable as well as indicate that they have more often engaged in a variety of transgressions compared to less greedy individuals. Study 2 (N = 172) replicated these findings in an incentivized behavioral laboratory study where participants decided to accept a bribe or not. Greedy people were more likely to take a bribe and also preferred higher bribes. Study 3 (N = 302) examined a potential process relating greed to unethical behavior. Greedy people were more likely to transgress because they found the positive outcomes associated with the transgression more desirable, and therefore displayed lower self-control. Implications for general theories of greed and morality are discussed.","Greed, Dispositional Greed Scale, Unethical behavior, Morality, Self-control",""
"Journal Article","Frost RO,Rosenfield E,Steketee G,Tolin DF","","An examination of excessive acquisition in hoarding disorder","Journal of Obsessive-Compulsive and Related Disorders","2013","2","3","338-345","","2013","2211-3649","https://www.sciencedirect.com/science/article/pii/S2211364913000444;http://dx.doi.org/10.1016/j.jocrd.2013.06.001","10.1016/j.jocrd.2013.06.001","Although much has been written about hoarding recently, excessive acquisition in hoarding has remained relatively unexplored. The present study examined the types and role of acquisition and acquisition avoidance in hoarding. Of the 852 people who identified themselves as having problems with hoarding and volunteered for an internet study, 526 completed principle study measures, and 369 of these met criteria for clinically significant hoarding. In addition, 469 family and friend informants completed measures about a hoarding loved one. Sixty percent of those who met criteria for hoarding also met criteria for excessive acquisition. Of the remainder, nearly 70% reported acquiring problems in the past. Overall, 88% of hoarding participants had problems with acquisition currently or in the past. Ninety-two percent of informants reported moderate or greater levels of acquisition on the part of their hoarding family member or friend. Comparisons of current, past, and non-acquirers indicated differences with respect to hoarding severity and associated features (e.g., cognitive failures, self-control, perfectionism). Further, a substantial number in all three groups reported avoidance of acquisition-related cues. Only a few cases reported stealing behavior. Inhibited self-control emerged as a significant predictor of excessive buying, while cognitive failures predicted both buying and free acquisition.","Hoarding, Hoarding disorder, Acquisition, Compulsive buying",""
"Journal Article","Groß D","","Action versus state orientation moderates the relation between executive function task performance and resting heart rate variability","Journal of Research in Personality","2020","86","","103936","","2020","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656620300258;http://dx.doi.org/10.1016/j.jrp.2020.103936","10.1016/j.jrp.2020.103936","Despite a considerable rationale for a relationship between executive functions (EFs) and resting heart rate variability based on the neurovisceral integration model, meta-analyses reveal relatively small effect sizes. This study aims to evaluate this relationship in three EF tasks by taking task characteristics and implicit affect and attention regulation measured by action-state orientation into account. Analyzing 154 participants (M = 23.56 years; SD = 3.14) indicated that the relationship was moderated by action-state orientation. However, the Johnson-Neyman test only found a relationship for state-oriented individuals, which also differed in the direction between demanding and low-demanding tasks. Therefore, this study cannot fully confirm the neurovisceral integration model. Implications for future research are discussed.","Executive functions, Resting heart rate variability, Action-state orientation, Neurovisceral integration model",""
"Book Chapter","Baumeister RF,Monroe AE","Olson JM,Zanna MP","Chapter One - Recent Research on Free Will: Conceptualizations, Beliefs, and Processes","","2014","50","","1-52","Academic Press","2014","0065-2601","https://www.sciencedirect.com/science/article/pii/B9780128002841000011;http://dx.doi.org/10.1016/B978-0-12-800284-1.00001-1","10.1016/B978-0-12-800284-1.00001-1","This chapter summarizes research on free will. Progress has been made by discarding outmoded philosophical notions in favor of exploring how ordinary people understand and use the notion of free will. The concept of responsible autonomy captures many aspects of layperson concepts of free will, including acting on one's own (i.e., not driven by external forces), choosing, using reasons and personal values, conscious reflection, and knowing and accepting consequences and moral implications. Free will can thus be understood as form of volition (action control) that evolved to enable people to live in cultural societies. Much work has shown that belief in free will (as opposed to disbelief) is associated with actions that are conducive to functioning well in culture, including helpfulness, restraint of aggression, learning via counterfactual analysis, thinking for oneself, effective job performance, and appropriate gratitude. Belief in free will increases in response to misdeeds by others, thus emphasizing the link to personal responsibility. Research on volition indicates that self-regulation, intelligent reasoning, decision making, and initiative all deplete a (common) limited energy source, akin to the folk notion of willpower and linked to the body's glucose supplies. Free will is thus not an absolute or constant property of persons but a variable, fluctuating capability—one that is nonetheless highly adaptive for individuals and society. The notion that people have free will has been invoked in multiple contexts. Legally and morally, it explains why people can be held responsible for their actions. Theologically, it was used to explain why a supposedly kind and omniscient god would send most of the people he created to hell (Walker, 1964). Yet, for such an important concept, there remains wide-ranging disagreement and confusion over its existence and its nature. For example, philosophers still debate whether humans truly have free will and, if so, under what conditions human volition deserves to be considered free (Kane, 2011). In psychology, most theorists believe that humans engage in self-control, rational choice, planning, initiative, and related acts of volition. The debate is not whether these things occur but merely whether these should be called free will. This chapter will provide an overview of recent psychology experiments concerned with free will. There are three main and quite distinct sets of problems, each with associated lines of research. The first is concerned with how people understand the idea of free will. The second concerns the causes and consequences of believing in free will. The third focuses on the actual volitional processes that guide human action.","Free will, Volition, Self-regulation, Decision making, Depletion","Advances in Experimental Social Psychology"
"Journal Article","Dinovo SA,Vasey MW","","Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia","Journal of Research in Personality","2011","45","5","430-440","","2011","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656611000791;http://dx.doi.org/10.1016/j.jrp.2011.05.002","10.1016/j.jrp.2011.05.002","Converging evidence indicates that shared temperamental diatheses partly underlie the covariance between anxiety and depression. Although developmental psychopathology research suggests that self-regulatory temperament (e.g., effortful control or EC) mitigates reactive risks associated with negative affectivity (NA) and positive affectivity (PA), and their respective counterparts, behavioral inhibition- and activation sensitivity (BIS and BAS), no studies have established EC’s protective effects in adulthood. This study examined concurrent relations between temperament and distress symptoms shared by anxiety and depression, and anhedonic symptoms unique to depression, in young adults. Anticipated two- and three-way interactions emerged supporting EC’s moderating effect between reactive temperament (i.e., high BIS and low BAS) and both symptom dimensions. However, no interactive relations emerged between symptoms and NA, PA, and EC.","Effortful control, Emotional reactivity, Self-regulation, Anxiety, Depression",""
