Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Bodies obliged and unbound: Differentiated response tendencies for injunctive and descriptive social norms.","Jacobson, Ryan P.; Mortensen, Chad R.; Cialdini, Robert B.","Journal of Personality and Social Psychology",="00223514",,="20110301","100","3","433","16","2010-25698-001","10.1037/a0021470","American Psychological Association","Journal Article","Conformity (Personality); Responses; Self-Regulation; Social Influences; Social Norms; Associative Processes; Decision Making; Adulthood (18 yrs & older); Male; Female",,"The authors suggest that injunctive and descriptive social norms engage different psychological response tendencies when made selectively salient. On the basis of suggestions derived from the focus theory of normative conduct and from consideration of the norms' functions in social life, the authors hypothesized that the 2 norms would be cognitively associated with different goals, would lead individuals to focus on different aspects of self, and would stimulate different levels of conflict over conformity decisions. Additionally, a unique role for effortful self-regulation was hypothesized for each type of norm—used as a means to resist conformity to descriptive norms but as a means to facilitate conformity for injunctive norms. Four experiments supported these hypotheses. Experiment 1 demonstrated differences in the norms' associations to the goals of making accurate/efficient decisions and gaining/maintaining social approval. Experiment 2 provided evidence that injunctive norms lead to a more interpersonally oriented form of self-awareness and to a greater feeling of conflict about conformity decisions than descriptive norms. In the final 2 experiments, conducted in the lab (Experiment 3) and in a naturalistic environment (Experiment 4), self-regulatory depletion decreased conformity to an injunctive norm (Experiments 3 and 4) and increased conformity to a descriptive norm (Experiment 4)—even though the norms advocated identical behaviors. By illustrating differentiated response tendencies for each type of social norm, this research provides new and converging support for the focus theory of normative conduct. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2010-25698-001&site=ehost-live&scope=site"
"Boxed in by your inbox: Implications of daily e-mail demands for managers’ leadership behaviors.","Rosen, Christopher C.; Simon, Lauren S.; Gajendran, Ravi S.; Johnson, Russell E.; Lee, Hun Whee; Lin, Szu-Han (Joanna)","Journal of Applied Psychology",="00219010",="9781433892363",="20190101","104","1","19","15","2018-45823-001","10.1037/apl0000343","American Psychological Association","Journal Article","Leadership; Management Personnel; Self-Regulation; Computer Mediated Communication; Communication; Emotions; Goals; Self-Control; Test Construction; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Over the past 30 years, the nature of communication at work has changed. Leaders in particular rely increasingly on e-mail to communicate with their superiors and subordinates. However, researchers and practitioners alike suggest that people frequently report feeling overloaded by the e-mail demands they experience at work. In the current study, we develop a self-regulatory framework that articulates how leaders’ day-to-day e-mail demands relate to a perceived lack of goal progress, which has a negative impact on their subsequent enactment of routine (i.e., initiating structure) and exemplary (i.e., transformational) leadership behaviors. We further theorize how two cross-level moderators—centrality of e-mail to one’s job and trait self-control—impact these relations. In an experience sampling study of 48 managers across 10 consecutive workdays, our results illustrate that e-mail demands are associated with a lack of perceived goal progress, to which leaders respond by reducing their initiating structure and transformational behaviors. The relation of e-mail demands with leader goal progress was strongest when e-mail was perceived as less central to performing one’s job, and the relations of low goal progress with leadership behaviors were strongest for leaders low in trait self-control. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-45823-001&site=ehost-live&scope=site"
"Cross-cultural variations in Big Five relationships with religiosity: A sociocultural motives perspective.","Gebauer, Jochen E.; Bleidorn, Wiebke; Gosling, Samuel D.; Rentfrow, Peter J.; Lamb, Michael E.; Potter, Jeff","Journal of Personality and Social Psychology",="00223514",,="20141201","107","6","1064","28","2014-35855-001","10.1037/a0037683","American Psychological Association","Journal Article","Cross Cultural Differences; Five Factor Personality Model; Motivation; Religiosity; Sociocultural Factors; Personality Traits; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"A sociocultural motives perspective (SMP) on Big Five relationships is introduced. According to the SMP, Agreeableness and Conscientiousness elicit assimilation to sociocultural norms, Openness elicits contrast from these norms, and Extraversion and Neuroticism are independent of sociocultural assimilation and contrast. Due to sociocultural assimilation, then, relationships of Agreeableness and Conscientiousness with an outcome wax (become more positive or less negative) with that outcome’s increasing sociocultural normativeness. Due to sociocultural contrast, relationships of Openness with an outcome wane (become less positive or more negative) with that outcome’s increasing sociocultural normativeness. We tested the SMP using religiosity as our outcome. Study 1 included 4 cross-sectional self-report data sets across 66 countries (N = 1,129,334), 50 U.S. states (N = 1,057,342), 15 German federal states (N = 20,885), and 121 British urban areas (N = 386,315). Study 2 utilized informant-report data across 37 countries (N = 544,512). Study 3 used longitudinal data across 15 German federal states (N = 14,858). Results consistently supported the SMP. Relationships of Agreeableness and Conscientiousness with religiosity were more positive in religious sociocultural contexts than in secular contexts. Relationships of Openness with religiosity were more negative in religious sociocultural contexts than in secular contexts. At a more general level, the SMP offers theory-driven explanations for cross-cultural variations in Big Five relationships with their outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-35855-001&site=ehost-live&scope=site"
"Development of the Motivation to Participate in Psychological Research Scale.","Freng, Scott","Journal of Individual Differences",="16140001",,="20200101","41","3","160","15","2020-05752-001","10.1027/1614-0001/a000317","Hogrefe Publishing","Journal Article","Experimentation; Motivation; Self-Determination; Test Construction; Test Validity; College Students; Confirmatory Factor Analysis; Experimental Subjects; Factor Structure; Participation; Theories; Autonomy; Adulthood (18 yrs & older); Male; Female",,"In a series of four studies, I developed and found evidence supporting the validity of a new measure, the Motivation to Participate in Psychological Research Scale (MPPRS). Based upon the tenets of Self-Determination Theory and aimed at measuring motivation in undergraduate students, the scale demonstrated a three-factor structure in exploratory and confirmatory factor analyses (Study 1: N = 238, Study 2: N = 264, Study 3: N = 297). Factors corresponded to autonomous motivation, controlled motivation, and amotivation. Preliminary evidence supported the validity of MPPRS scores, and subscales differentiated psychology majors from non-majors, as well as associated with the timing of research participation during the semester. Examining student motivation with the MPPRS has possible implications for data quality, as a moderator of research findings, and might be used to track changes in students’ interest regarding psychological research. However, future research is needed to assess the predictive validity of the MPPRS. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-05752-001&site=ehost-live&scope=site"
"Divergent effects of activating thoughts of God on self-regulation.","Laurin, Kristin; Kay, Aaron C.; Fitzsimons, Gráinne M.","Journal of Personality and Social Psychology",="00223514",,="20120101","102","1","4","18","2011-24228-001","10.1037/a0025971","American Psychological Association","Journal Article","Goal Orientation; God Concepts; Self-Control; Self-Regulation; Social Cognition; Social Influences; Adulthood (18 yrs & older); Male; Female",,"Despite the cultural ubiquity of ideas and images related to God, relatively little is known about the effects of exposure to God representations on behavior. Specific depictions of God differ across religions, but common to most is that God is (a) an omnipotent, controlling force and (b) an omniscient, all-knowing being. Given these 2 characteristic features, how might exposure to the concept of God influence behavior? Leveraging classic and recent theorizing on self-regulation and social cognition, we predict and test for 2 divergent effects of exposure to notions of God on self-regulatory processes. Specifically, we show that participants reminded of God (vs. neutral or positive concepts) demonstrate both decreased active goal pursuit (Studies 1, 2, and 5) and increased temptation resistance (Studies 3, 4, and 5). These findings provide the first experimental evidence that exposure to God influences goal pursuit and suggest that the ever-present cultural reminders of God can be both burden and benefit for self-regulation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2011-24228-001&site=ehost-live&scope=site"
"Ego depletion and the strength model of self-control: A meta-analysis.","Hagger, Martin S.; Wood, Chantelle; Stiff, Chris; Chatzisarantis, Nikos L. D.","Psychological Bulletin",="00332909",,="20100701","136","4","495","31","2010-12718-004","10.1037/a0019486","American Psychological Association","Journal Article","Dual Task Performance; Ego; Experimentation; Self-Control; Self-Regulation",,"According to the strength model, self-control is a finite resource that determines capacity for effortful control over dominant responses and, once expended, leads to impaired self-control task performance, known as ego depletion. A meta-analysis of 83 studies tested the effect of ego depletion on task performance and related outcomes, alternative explanations and moderators of the effect, and additional strength model hypotheses. Results revealed a significant effect of ego depletion on self-control task performance. Significant effect sizes were found for ego depletion on effort, perceived difficulty, negative affect, subjective fatigue, and blood glucose levels. Small, nonsignificant effects were found for positive affect and self-efficacy. Moderator analyses indicated minimal variation in the effect across sphere of depleting and dependent task, frequently used depleting and dependent tasks, presentation of tasks as single or separate experiments, type of dependent measure and control condition task, and source laboratory. The effect size was moderated by depleting task duration, task presentation by the same or different experimenters, intertask interim period, dependent task complexity, and use of dependent tasks in the choice and volition and cognitive spheres. Motivational incentives, training on self-control tasks, and glucose supplementation promoted better self-control in ego-depleted samples. Expecting further acts of self-control exacerbated the effect. Findings provide preliminary support for the ego-depletion effect and strength model hypotheses. Support for motivation and fatigue as alternative explanations for ego depletion indicate a need to integrate the strength model with other theories. Findings provide impetus for future investigation testing additional hypotheses and mechanisms of the ego-depletion effect. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2010-12718-004&site=ehost-live&scope=site"
"Fit to be good: Physical fitness is negatively associated with deviance.","Tai, Kenneth; Liu, Yuchuan; Pitesa, Marko; Lim, Sandy; Tong, Yew Kwan; Arvey, Richard","Journal of Applied Psychology",="00219010",,="20220301","107","3","389","19","2021-44296-001","10.1037/apl0000916","American Psychological Association","Journal Article","Antisocial Behavior; Ego; Physical Activity; Physical Fitness; Self-Control; Military Recruitment; Military Training; Adulthood (18 yrs & older); Male; Female",,"While modern organizations generate economic value, they also produce negative externalities in terms of human physical fitness, such that workers globally are becoming physically unfit. In the current research, we focus on a significant but overlooked indirect cost that lack of physical fitness entails—deviance. In contrast to early (and methodologically limited) research in criminology, which suggests that physically fit people are more likely to behave in a deviant manner, we draw on self-control theory to suggest the opposite: That physically fit people are less likely to engage in deviance. In Study 1, we assembled a dataset on 50 metropolitan areas in the U.S. spanning a 9-year period, and found that physical fitness index of a metropolitan area is negatively related to deviance in that area in a concurrent as well as time-lagged fashion. We complemented this aggregate-level theory test with two studies testing the theory at the individual level. In Study 2, we collected multi-source data from 3,925 military recruits who underwent physical training and found that those who score higher on physical fitness test are less likely to engage in deviance. Study 3 conceptually replicated the effect with both concurrent and time-lagged models using a five-wave longitudinal design in a sample of employees working in service roles, and also found that ego depletion mediates the effect of physical activity on workplace deviance. We speculate on economic implications of the observed relationship between physical fitness and deviance and discuss its relevance for organizations and public policy. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2021-44296-001&site=ehost-live&scope=site"
"From ego depletion to self-control fatigue: A review of criticisms along with new perspectives for the investigation and replication of a multicomponent phenomenon.","Forestier, Cyril; de Chanaleilles, Margaux; Boisgontier, Matthieu P.; Chalabaev, Aïna","Motivation Science",="23338113",,="20220301","8","1","19","14","2022-34233-007","10.1037/mot0000262","Educational Publishing Foundation","Journal Article","Ego; Experimental Replication; Fatigue; Self-Control",,"The replication crisis in psychology has led to question popular phenomena such as ego depletion, which has been criticized after studies failed to replicate. Here, we describe limitations in the literature that contributed to these failures and suggest how they may be addressed. At the theoretical level, the literature focuses on two out of at least eight identified auxiliary hypotheses. Thus, the majority of the hypotheses related to the three core assumptions of the ego-depletion theory have been overlooked, thereby preventing the rejection of the theory as a whole. At the experimental level, we argue that the low replicability of ego-depletion studies could be explained by the absence of a comprehensive, integrative, and falsifiable definition of self-control, which is central to the concept of ego depletion; by an unclear or absent distinction between ego depletion and mental fatigue, two phenomena that rely on different processes; and by the low validity of the tasks used to induce ego depletion. Finally, we make conceptual and methodological suggestions for a more rigorous investigation of ego depletion, discuss the necessity to take into account its dynamic and multicomponent nature, and suggest using the term self-control fatigue instead. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2022-34233-007&site=ehost-live&scope=site"
"Good actors but bad apples: Deviant consequences of daily impression management at work.","Klotz, Anthony C.; He, Wei; Yam, Kai Chi; Bolino, Mark C.; Wei, Wu; Houston, Lawrence III","Journal of Applied Psychology",="00219010",,="20181001","103","10","1145","10","2018-30644-001","10.1037/apl0000335","American Psychological Association","Journal Article","Employee Characteristics; Impression Management; Interpersonal Influences; Supervisor Employee Interaction; Test Construction; Adulthood (18 yrs & older); Male; Female",,"Impression management (IM) refers to behaviors employees use to create and maintain desired images in the workplace. Prior studies have shown that the successful use of IM relates to a number of important outcomes for employees (e.g., higher performance evaluations), but this work has tended to compare IM usage between individuals, ignoring the fact that employees likely adjust their use of IM depending on the situations they face at work on a given day. In this paper, we argue that managing impressions on a daily basis can be draining, thereby leaving employees susceptible to the temptation to engage in subsequent harmful behaviors at work. To better understand the nature and within-person consequences of IM, we examine the daily use of two supervisor-focused IM tactics—ingratiation and self-promotion—among 75 professionals in China over the course of two work weeks. Our results indicate that there is significant within-person variance in employees’ use of ingratiation and self-promotion aimed at supervisors. Moreover, our findings suggest that the use of ingratiation, but not self-promotion, depletes employees’ self-control resources. In the case of ingratiation, this depletion is positively associated with employee deviance, and the indirect effect is stronger among employees with low political skill. Overall, this research contributes to our understanding of the dynamic, within-person nature of IM, the consequences of IM for employees, and the dark side of IM for organizations. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2018-30644-001&site=ehost-live&scope=site"
"Harnessing the need for immediate gratification: Cognitive reconstrual modulates the reward value of temptations.","Magen, Eran; Gross, James J.","Emotion",="15283542",,="20070501","7","2","415","14","2007-06782-017","10.1037/1528-3542.7.2.415","American Psychological Association","Journal Article","Cognitive Processes; Delay of Gratification; Self-Control; Temptation; Rewards; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Many of us succumb to temptations, despite knowing that we will later regret doing so. How can such behavior be avoided? In three studies, the authors tested the hypothesis that reconstruing temptation as a test of a valued internal quality ('willpower') would decrease the tendency to succumb by reducing the appeal of the temptation. In Study 1, participants who construed a challenging handgrip task as a test of willpower resisted the temptation to terminate the painful task longer than participants who did not. In Study 2, participants performed a handgrip task twice. Only participants who changed their construal of the task into a test of willpower improved their performance. In Study 3, participants took a timed math test while being tempted by comedy clips. Participants who reconstrued the situation as willpower test compared with participants who did not, (a) enjoyed the videos less, and (b) were better able to resist the tempting videos. These studies demonstrate that cognitive reconstrual can be used to modify reward contingencies, so that succumbing to temptation becomes less appealing, and resisting temptation becomes more appealing. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2007-06782-017&site=ehost-live&scope=site"
