Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Action versus state orientation moderates the impact of executive functioning on real-life self-control.","Wolff, Max; Krönke, Klaus-Martin; Venz, John; Kräplin, Anja; Bühringer, Gerhard; Smolka, Michael N.; Goschke, Thomas","Journal of Experimental Psychology: General",="00963445",,="20161201","145","12","1635","19","2016-49286-001","10.1037/xge0000229","American Psychological Association","Journal Article","Individual Differences; Self-Control; Cognitive Control; Executive Function; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"Self-control is commonly assumed to depend on executive functions (EFs). However, it is unclear whether real-life self-control failures result from deficient EF competencies or rather reflect insufficient conflict-induced mobilization of executive control, and whether self-control depends more critically on function-specific EF competencies or general executive functioning (GEF), that is, common competencies that underlie all EFs. Here we investigated whether failure-related action versus state orientation, a personality trait related to the conflict-induced mobilization of cognitive control, moderates the effect of general and function-specific control competencies on self-control. To this end, 240 young adults completed questionnaire measures of action-state orientation and trait self-control, reported everyday self-control failures during 7 consecutive days via smartphone-based experience sampling, and completed 9 EF tasks from which latent variables reflecting GEF as well as inhibition-, updating-, and shifting-specific competencies were derived. Structural equation models confirmed that the effect of GEF on self-control was moderated by action-state orientation: action-oriented compared with more state-oriented participants showed a stronger inverse association between GEF and everyday self-control failures. Corresponding effects of function-specific competencies on self-control were not found. These results highlight that high executive functioning may enable self-controlled behavior only if control is sufficiently mobilized when needed and suggest that self-control may depend more critically on general than function-specific control competencies. More generally, the present study demonstrates the fruitfulness of combining latent-variable models of well-controlled EF tasks with experience sampling of daily self-control and measures of individual differences in control modes to bridge the gap between laboratory research and real-life behavior. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2016-49286-001&site=ehost-live&scope=site"
"Clarifying the link between job satisfaction and absenteeism: The role of guilt proneness.","Schaumberg, Rebecca L.; Flynn, Francis J.","Journal of Applied Psychology",="00219010",,="20170601","102","6","982","11","2017-10518-001","10.1037/apl0000208","American Psychological Association","Journal Article","Employee Absenteeism; Guilt; Job Satisfaction; Self-Concept; Agreeableness; Morality; Adulthood (18 yrs & older); Male; Female",,"We propose that the relationship between job satisfaction and absenteeism depends partly on guilt proneness. Drawing on withdrawal and process models of absenteeism, we argue that job satisfaction predicts absences for employees who are low (but not high) in guilt proneness because low guilt-prone people’s behaviors are governed more by fulfilling their own egoistic desires than by fulfilling others’ normative expectations. We find support for this prediction in a sample of customer service agents working for a major telecommunications company and a sample of working adults employed in a range of industries. In each study, we use measures of employees’ guilt proneness and job satisfaction to predict their subsequent workplace absences. In Study 2, we extend our hypothesis tests to 2 traits that are conceptually comparable to guilt proneness (i.e., moral identity and agreeableness), showing that these traits similarly moderate the relationship between job satisfaction and absenteeism. We discuss the implications of these findings for extant models of absenteeism and research on moral affectivity in the workplace. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2017-10518-001&site=ehost-live&scope=site"
"Cross-cultural variations in Big Five relationships with religiosity: A sociocultural motives perspective.","Gebauer, Jochen E.; Bleidorn, Wiebke; Gosling, Samuel D.; Rentfrow, Peter J.; Lamb, Michael E.; Potter, Jeff","Journal of Personality and Social Psychology",="00223514",,="20141201","107","6","1064","28","2014-35855-001","10.1037/a0037683","American Psychological Association","Journal Article","Cross Cultural Differences; Five Factor Personality Model; Motivation; Religiosity; Sociocultural Factors; Personality Traits; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"A sociocultural motives perspective (SMP) on Big Five relationships is introduced. According to the SMP, Agreeableness and Conscientiousness elicit assimilation to sociocultural norms, Openness elicits contrast from these norms, and Extraversion and Neuroticism are independent of sociocultural assimilation and contrast. Due to sociocultural assimilation, then, relationships of Agreeableness and Conscientiousness with an outcome wax (become more positive or less negative) with that outcome’s increasing sociocultural normativeness. Due to sociocultural contrast, relationships of Openness with an outcome wane (become less positive or more negative) with that outcome’s increasing sociocultural normativeness. We tested the SMP using religiosity as our outcome. Study 1 included 4 cross-sectional self-report data sets across 66 countries (N = 1,129,334), 50 U.S. states (N = 1,057,342), 15 German federal states (N = 20,885), and 121 British urban areas (N = 386,315). Study 2 utilized informant-report data across 37 countries (N = 544,512). Study 3 used longitudinal data across 15 German federal states (N = 14,858). Results consistently supported the SMP. Relationships of Agreeableness and Conscientiousness with religiosity were more positive in religious sociocultural contexts than in secular contexts. Relationships of Openness with religiosity were more negative in religious sociocultural contexts than in secular contexts. At a more general level, the SMP offers theory-driven explanations for cross-cultural variations in Big Five relationships with their outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-35855-001&site=ehost-live&scope=site"
"Development of the Motivation to Participate in Psychological Research Scale.","Freng, Scott","Journal of Individual Differences",="16140001",,="20200101","41","3","160","15","2020-05752-001","10.1027/1614-0001/a000317","Hogrefe Publishing","Journal Article","Experimentation; Motivation; Self-Determination; Test Construction; Test Validity; College Students; Confirmatory Factor Analysis; Experimental Subjects; Factor Structure; Participation; Theories; Autonomy; Adulthood (18 yrs & older); Male; Female",,"In a series of four studies, I developed and found evidence supporting the validity of a new measure, the Motivation to Participate in Psychological Research Scale (MPPRS). Based upon the tenets of Self-Determination Theory and aimed at measuring motivation in undergraduate students, the scale demonstrated a three-factor structure in exploratory and confirmatory factor analyses (Study 1: N = 238, Study 2: N = 264, Study 3: N = 297). Factors corresponded to autonomous motivation, controlled motivation, and amotivation. Preliminary evidence supported the validity of MPPRS scores, and subscales differentiated psychology majors from non-majors, as well as associated with the timing of research participation during the semester. Examining student motivation with the MPPRS has possible implications for data quality, as a moderator of research findings, and might be used to track changes in students’ interest regarding psychological research. However, future research is needed to assess the predictive validity of the MPPRS. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-05752-001&site=ehost-live&scope=site"
"Explaining the relationship between religiousness and substance use: Self-control matters.","DeWall, C. Nathan; Pond, Richard S. Jr.; Carter, Evan C.; McCullough, Michael E.; Lambert, Nathaniel M.; Fincham, Frank D.; Nezlek, John B.","Journal of Personality and Social Psychology",="00223514",,="20140801","107","2","339","13","2014-30504-006","10.1037/a0036853","American Psychological Association","Journal Article","Drug Abuse; Religiosity; Self-Control; Self-Regulation; Adulthood (18 yrs & older)",,"Religiousness is reliably associated with lower substance use, but little research has examined whether self-control helps explain why religiousness predicts lower substance use. Building on prior theoretical work, our studies suggest that self-control mediates the relationship between religiousness and a variety of substance-use behaviors. Study 1 showed that daily prayer predicted lower alcohol use on subsequent days. In Study 2, religiousness related to lower alcohol use, which was mediated by self-control. Study 3 replicated this mediational pattern using a behavioral measure of self-control. Using a longitudinal design, Study 4 revealed that self-control mediated the relationship between religiousness and lower alcohol use 6 weeks later. Study 5 replicated this mediational pattern again and showed that it remained significant after controlling for trait mindfulness. Studies 6 and 7 replicated and extended these effects to both alcohol and various forms of drug use among community and cross-cultural adult samples. These findings offer novel evidence regarding the role of self-control in explaining why religiousness is associated with lower substance use. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2014-30504-006&site=ehost-live&scope=site"
"Measuring self-control in international large-scale surveys: Development and validation of a four-item scale in English, French, German, Japanese, Polish, and Spanish.","Partsch, Melanie V.; Danner, Daniel","European Journal of Psychological Assessment",="10155759",,="20210101","37","5","409","10","2020-91108-001","10.1027/1015-5759/a000618","Hogrefe Publishing","Journal Article","Foreign Language Translation; Self-Control; Test Construction; Test Validity; Educational Attainment Level; Emotions; Health; Persistence; Sensation Seeking; Adulthood (18 yrs & older); Male; Female",,"Self-control – that is, the ability to control impulses, emotions, or actions in order to achieve goals – is associated with a broad range of positive life outcomes, such as educational attainment and health. The present study describes the development and validation of a four-item self-control scale in English, French, German, Japanese, Polish, and Spanish. We used a sample comprising 973 survey respondents from the United States to select the scale items, and a sample comprising 5,557 respondents from six countries to validate the short scale. Results suggest that with just four items, self-control can be measured in a valid, partially scalar invariant, and time-efficient way, and can be adjusted for acquiescence. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2020-91108-001&site=ehost-live&scope=site"
"Passionate thinkers feel better: Self-control capacity as mediator of the relationship between need for cognition and affective adjustment.","Bertrams, Alex; Dickhäuser, Oliver","Journal of Individual Differences",="16140001",,="20120101","33","2","69","7","2012-03639-001","10.1027/1614-0001/a000081","Hogrefe Publishing","Journal Article","Emotional Adjustment; Need for Cognition; Self-Control; Self-Esteem; Self-Regulation; College Students; Major Depression; Adulthood (18 yrs & older); Male; Female",,"The present study tested a possible explanation for the positive relationship between the motivation to engage in cognitive endeavors (need for cognition, NFC) and indicators of affective adjustment (e.g., higher self-esteem, lower depression) that has been demonstrated in previous studies. We suggest that dispositional self-control capacity mediates this relationship, since NFC has been found to be related to self-control capacity, and self-control capacity is crucial for adjustment. NFC, dispositional self-control capacity, self-esteem, habitual depressive mood, and tendency to respond in a socially desirable manner were measured among 150 university students via self-report. Regression analyses and Sobel tests revealed that self-control capacity was a potential mediator of the positive relationship between NFC and affective adjustment. The findings were robust in terms of social desirability. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2012-03639-001&site=ehost-live&scope=site"
"Personality and prosocial behavior: A theoretical framework and meta-analysis.","Thielmann, Isabel; Spadaro, Giuliana; Balliet, Daniel","Psychological Bulletin",="00332909",,="20200101","146","1","30","61","2019-77920-001","10.1037/bul0000217","American Psychological Association","Journal Article","Cooperation; Games; Individual Differences; Prosocial Behavior; Interdependence; Personality Traits; Personality; Social Interaction",,"Decades of research document individual differences in prosocial behavior using controlled experiments that model social interactions in situations of interdependence. However, theoretical and empirical integration of the vast literature on the predictive validity of personality traits to account for these individual differences is missing. Here, we present a theoretical framework that identifies 4 broad situational affordances across interdependent situations (i.e., exploitation, reciprocity, temporal conflict, and dependence under uncertainty) and more specific subaffordances within certain types of interdependent situations (e.g., possibility to increase equality in outcomes) that can determine when, which, and how personality traits should be expressed in prosocial behavior. To test this framework, we meta-analyzed 770 studies reporting on 3,523 effects of 8 broad and 43 narrow personality traits on prosocial behavior in interdependent situations modeled in 6 commonly studied economic games (Dictator Game, Ultimatum Game, Trust Game, Prisoner’s Dilemma, Public Goods Game, and Commons Dilemma). Overall, meta-analytic correlations ranged between −.18 ≤ ρ̂ ≤ .26, and most traits yielding a significant relation to prosocial behavior had conceptual links to the affordances provided in interdependent situations, most prominently the possibility for exploitation. Moreover, for several traits, correlations within games followed the predicted pattern derived from a theoretical analysis of affordances. On the level of traits, we found that narrow and broad traits alike can account for prosocial behavior, informing the bandwidth-fidelity problem. In sum, the meta-analysis provides a theoretical foundation that can guide future research on prosocial behavior and advance our understanding of individual differences in human prosociality. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2019-77920-001&site=ehost-live&scope=site"
"Role of self-control strength in the relation between anxiety and cognitive performance.","Bertrams, Alex; Englert, Chris; Dickhäuser, Oliver; Baumeister, Roy F.","Emotion",="15283542",,="20130801","13","4","668","13","2013-10203-001","10.1037/a0031921","American Psychological Association","Journal Article","Cognitive Ability; Performance Tests; Self-Control; Self-Regulation; Test Anxiety; Ego; Adulthood (18 yrs & older); Male; Female",,"In the present work, we examine the role of self-control resources within the relationship between anxiety and cognitive test performance. We argue that self-control is required for keeping attention away from anxiety-related worries, which would otherwise distract a person from performing on the test. In Study 1 (N = 67) and Study 2 (N = 96), we found that state anxiety was negatively related to performance of verbal learning and mental arithmetic if participants’ self-control resources were depleted, but it was unrelated if participants’ self-control was intact. In Study 3 (N = 99), the worry component of trait test anxiety was more strongly related to perceived distraction by worries while performing an arithmetic task for participants with depleted self-control resources than for nondepleted participants. Furthermore, distraction by worries showed to be responsible for suboptimal performance. The findings may help to clarify the anxiety–performance relationship and offer a novel approach for counteracting performance decrements associated with test anxiety. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2013-10203-001&site=ehost-live&scope=site"
"Taking the long view: Implications of individual differences in temporal distancing for affect, stress reactivity, and well-being.","Bruehlman-Senecal, Emma; Ayduk, Özlem; John, Oliver P.","Journal of Personality and Social Psychology",="00223514",,="20161001","111","4","610","26","2016-33915-001","10.1037/pspp0000103","American Psychological Association","Journal Article","Experiences (Events); Individual Differences; Questionnaires; Test Construction; Psychological Distance; Cognitive Appraisal; Emotional Regulation; Stress; Test Reliability; Time Perspective; Well Being; Adulthood (18 yrs & older); Male; Female",,"Recent experimental work demonstrates that temporal distancing from negative experiences reduces distress. Yet two central questions remain: (a) do people differ in the habitual tendency to temporally distance from negative experiences, and if so (b) what implications does this tendency have for well-being? Seven studies explored these questions. Study 1 describes the construction and reliability of the Temporal Distancing Questionnaire, a new measure of individual differences in the tendency to place negative experiences into a broader future time perspective. Study 2 establishes a nomological network around this construct, examining the relationship of temporal distancing to other theoretically related constructs. Study 3 tests whether people high in temporal distancing (i.e., 'high temporal distancers') experience greater concurrent well-being, including greater positive affect and life satisfaction and lesser negative affect, worry, and depressive symptoms. Study 4 examines whether temporal distancing predicts well-being measured at the daily level, and across time. Finally, Studies 5a–5c explore a key way in which temporal distancing may support psychological well-being—by facilitating more adaptive responses to negative experiences. Our results demonstrate that the tendency to temporally distance from negative experiences predicts a more positive profile of affective experiences and stress-reactivity that may support immediate and longer-term well-being. Moreover, many of these findings remained significant when controlling for general reappraisal tendencies. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2016-33915-001&site=ehost-live&scope=site"
